Date,Stock Splits,Ticker
1/17/2023,1.046,JEF
1/4/2023,1.281,GE
11/30/2022,4,TECH
11/4/2022,2,CPRT
8/29/2022,3,NDAQ
8/25/2022,3,TSLA
7/22/2022,4,GME
7/18/2022,20,GOOG
7/18/2022,20,GOOGL
