date,symbol,HIGH,LAST,LOW,OPEN,VOLUME,filename
2022-05-01,/QM:XNYM,105.15,104.8,103.475,104.0,581,f_qm
2022-05-02,/QM:XNYM,105.15,101.725,100.275,104.0,16555,f_qm
2022-05-03,/QM:XNYM,105.800000,103.425000,102.750000,105.000000,16344,f_qm
