Ticker,open,high,low,close,volume
A,122.7,123.7,121.45,123.08,2216184
AA,64.17,64.71,61.8,63.4,6836941
AAL,17.16,17.83,17.065,17.82,28978505
AAP,215.46,217.35,211.815,216.26,705437
AAPL,148.86,149.77,146.68,149.24,78336254
ABBV,155.38,155.79,152.85,154.78,6032338
ABC,155.67,157.49,152.655,156.93,1987339
ABMD,259.02,262.96,255.45,258.23,246679
ABT,111.59,115.43,111.59,114.54,9172021
ACN,294.68,294.68,288.2,291.07,1598041
ADBE,413.08,416.72,403.54,409.65,2614675
ADI,160.99,164.38,160.62,163.84,4952192
ADM,87.63,89.0695,86.35,88.63,5854666
ADP,211.8,215.58,210.8607,214.96,1836522
ADSK,197.0,198.99,189.54,195.64,1596082
ADT,7.03,7.21,6.99,7.2,1411063
AEE,93.45,93.92,92.05,93.5,1389160
AEP,99.67,100.45,98.05,100.4,2521255
AES,20.41,20.77,20.26,20.76,3971160
AFL,56.82,57.5,56.48,57.24,1911019
AIG,59.9,60.5,59.5,60.28,3911067
AIV,5.91,6.13,5.87,6.13,3344707
AIZ,182.63,184.45,180.67,184.44,483830
AJG,162.77,164.66,161.77,164.17,1129753
AKAM,99.99,100.23,96.94,98.39,1835355
ALB,232.49,239.33,231.23,239.23,1141572
ALGN,279.96,285.46,273.99,280.59,1190242
ALK,47.24,48.24,46.7074,48.02,1671015
ALL,128.23,129.37,127.18,129.21,1208265
ALLE,113.15,113.67,111.225,113.66,716893
ALTR,53.36,53.68,51.62,52.19,407612
AMAT,114.54,117.32,113.33,116.84,6646480
AMCR,13.16,13.37,13.035,13.33,13540777
AMD,97.88,103.2,97.54,102.47,164227180
AME,122.08,122.34,120.81,121.45,1281967
AMG,127.07,129.26,125.16,129.0,156528
AMGN,245.14,246.215,239.26,245.35,2344090
AMP,267.04,269.62,264.42,269.05,566450
AMT,233.2,233.63,229.4,233.0,1728456
AMZN,113.275,115.8,111.2765,115.3685,76447740
AN,123.04,124.665,120.713,122.66,546018
ANET,107.37,107.8399,104.94,107.37,1265896
ANF,33.07,33.75,31.67,33.36,1659844
ANSS,254.43,255.435,246.85,252.94,718887
AON,281.41,281.41,275.765,279.03,600138
AOS,59.97,60.52,59.27,60.35,756160
APA,42.87,43.46,42.39,43.14,6472196
APD,238.24,239.94,233.64,239.58,893460
APH,71.03,71.27,70.18,71.11,1799314
APTV,98.08,99.25,96.83,99.17,1696672
ARE,165.95,166.06,163.62,165.54,1064799
ATI,26.12,27.28,26.09,26.96,1810866
ATO,113.76,113.875,111.69,113.75,1040886
ATVI,78.5,78.57,78.0,78.54,4087189
AVB,206.79,207.93,203.375,207.84,1032226
AVGO,595.45,609.0,593.61,608.15,2467604
AVY,176.86,178.4,174.67,178.15,418178
AWK,146.73,146.73,143.92,146.41,664274
AXP,161.07,162.7634,158.4,161.85,2928066
AYI,168.05,171.22,167.395,170.64,238699
AZO,2056.15,2056.15,2008.82,2031.87,196964
BA,126.905,132.83,125.79,132.05,12154220
BAC,35.62,36.215,35.43,35.99,42635615
