Ticker,open,high,low,close,volume
A,133.55,133.55,128.43,130.34,2376504
AA,89.56,92.32,83.51,85.4,12623520
AAL,14.32,14.62,12.77,12.84,89360330
AAP,206.38,207.06,200.49,201.31,1289507
AAPL,163.36,165.02,159.04,159.3,96418845
ABBV,149.0,150.75,148.19,149.45,7137687
ABC,146.89,148.42,144.79,144.84,1411547
ABMD,314.26,317.38,297.24,298.64,287188
ABT,120.54,120.89,117.26,118.86,6632006
ACN,313.18,314.0,304.6,305.02,2908214
ADBE,456.22,457.68,437.18,437.97,3676072
ADI,157.02,157.34,146.21,146.28,5701277
ADM,84.9,87.99,83.06,83.97,8597947
ADP,207.72,211.8,206.47,208.39,2535505
ADS,59.955,59.955,55.08,55.09,1175877
ADSK,207.9,209.69,199.02,199.09,1930463
ADT,7.66,7.8,7.285,7.32,3000493
AEE,89.58,89.85,88.38,89.57,1787761
AEP,96.01,98.15,95.15,97.26,4111340
AES,22.03,22.23,21.72,21.87,7689726
AFL,59.37,59.6852,58.9,59.03,3528500
AIG,56.66,57.1,54.66,54.67,7982033
AIV,7.29,7.375,7.13,7.13,1001595
AIZ,167.77,169.27,166.23,168.25,413291
AJG,158.86,159.71,153.68,154.55,1194711
AKAM,112.25,113.67,110.33,112.01,1846144
ALB,180.58,181.81,171.14,172.09,1051550
ALGN,464.0,468.8,434.64,435.57,1075983
ALK,48.5,48.8699,43.62,43.69,3682461
ALL,126.41,128.565,125.09,125.17,2605906
ALLE,117.47,118.59,114.72,114.73,853663
ALTR,64.55,65.615,63.86,64.49,245847
AMAT,127.56,128.05,119.11,119.22,9207137
AMCR,11.17,11.2,10.79,10.79,11140084
AMD,108.53,109.53,102.82,102.95,92599972
AME,131.18,131.49,128.19,129.5,1209268
AMG,127.34,128.87,122.46,122.48,271214
AMGN,231.29,239.66,231.23,234.36,3713156
AMP,278.43,279.16,264.69,264.92,808848
AMT,237.12,237.865,231.03,232.02,1499174
AMZN,145.4435,146.0945,137.4165,137.453,86933860
AN,111.78,113.8539,108.26,108.85,936847
ANET,118.83,118.84,114.31,114.45,2777563
ANF,28.75,28.8,26.47,26.5,3612402
ANSS,310.62,313.56,305.74,305.87,586001
AON,290.19,292.43,288.22,288.38,2313310
AOS,68.48,68.8,67.22,67.32,1177031
APA,39.91,40.56,37.33,37.92,15962132
APD,229.28,229.67,221.0,221.5,1796152
APH,76.12,76.23,72.75,72.82,3681445
APTV,105.43,106.64,97.29,97.63,4971153
ARE,194.94,196.39,189.43,189.44,832461
ATI,26.27,28.4,25.96,26.48,4181641
ATO,116.23,116.81,114.64,116.01,1539302
ATVI,81.18,81.5,80.4,80.55,8545956
AVB,247.42,249.88,244.53,244.58,670711
AVGO,597.08,598.78,570.0,570.7,2649363
AVY,167.12,168.08,157.76,158.58,966402
AWK,161.72,161.99,158.105,159.22,1244406
AXP,170.13,170.755,159.08,159.13,7760413
AYI,186.12,187.63,181.56,181.95,219003
AZO,1878.71,1903.04,1848.85,1860.3,234348
BA,181.03,182.72,169.06,169.17,12847456
BAC,39.93,40.11,38.21,38.34,109778958
BALL,91.34,92.79,89.44,89.69,2115499
BAX,85.62,85.62,83.82,84.98,3204688
BBBY,30.0,30.06,19.21,21.71,105623748
BBWI,49.98,50.17,45.48,45.5,6912488
BBY,105.54,109.13,103.28,104.71,4679535
BDX,273.66,276.49,269.76,276.05,1784835
BEAM,64.38,66.36,61.56,62.81,1089652
BEN,27.99,28.1399,27.05,27.21,3402357
BF.B,69.9,69.9,67.58,67.76,1099618
BHF,46.0,46.44,43.39,43.43,810515
BIG,37.48,38.0,35.6,36.22,1144893
BIIB,208.23,218.22,205.01,205.78,1309707
BIO,584.59,585.32,549.665,550.16,204884
BK,50.39,50.835,49.82,50.01,8228847
BKNG,1970.26,1979.05,1815.97,1817.16,1089514
BKR,33.2,35.92,33.2,34.78,19497452
BLK,696.0,701.75,674.84,677.07,1154435
BMY,69.21,69.23,68.165,68.77,15714941
BR,147.62,148.29,146.19,147.28,770999
BRK.B,325.68,326.44,320.35,322.72,5879300
BRO,67.82,68.01,66.095,66.23,1548883
BSX,43.72,43.8,42.49,42.55,8479723
BTU,24.71,26.35,19.93,22.0,32778608
BWA,36.77,36.88,34.95,35.02,3744274
BXP,122.8,123.82,120.61,121.11,617324
C,55.03,56.27,54.07,55.55,49710679
CAG,34.16,34.475,33.68,33.7,4734597
CAH,53.69,53.69,52.38,52.43,3123523
CARR,45.0,45.045,43.47,43.52,7210754
CAT,194.79,203.5,193.6233,196.7,6912345
CB,203.09,203.47,198.78,198.92,2093379
CBOE,120.95,120.95,116.32,116.42,546102
CBRE,89.62,90.27,86.287,86.46,3098684
CCI,178.13,179.11,176.08,176.78,2091863
CCK,124.3,127.15,122.1,122.66,1921761
CCL,17.3,17.48,15.52,15.53,67688568
CDAY,67.15,67.81,62.705,63.56,1934653
CDNS,154.94,155.375,150.25,150.4,2089617
CDW,170.62,170.87,165.4,165.44,662396
CE,140.23,141.1,133.38,133.62,1493584
CEG,51.06,52.58,49.87,51.65,2727118
CF,92.02,100.52,91.96,95.69,9925242
CFG,47.7,48.0,45.42,45.43,6619719
CHD,100.3,102.78,99.13,101.71,1717810
CHK,85.81,88.75,83.18,85.89,3075395
CHRW,105.77,107.58,104.635,105.13,1410150
CHTR,553.02,566.33,545.33,555.64,1867245
CI,241.13,241.94,236.86,237.85,1733902
CIEN,64.48,64.48,58.46,58.76,4738099
CINF,122.53,122.59,119.69,119.73,879860
CL,76.91,77.24,75.86,76.68,4298647
CLF,26.0,27.79,25.23,26.06,43112462
CLX,144.4,147.5,141.95,145.49,1868151
CMA,89.09,90.22,84.44,84.5,2113275
CMCSA,47.0,47.41,45.9,46.3,30718651
CME,243.77,244.37,235.64,235.73,2013485
CMG,1449.45,1449.45,1314.21,1323.96,459133
CMI,201.51,202.16,189.5,189.6,2686887
CMS,67.02,67.43,66.47,66.98,2196260
CNC,85.84,86.24,82.71,83.49,3039634
CNP,28.91,29.05,28.395,28.73,5326427
CNX,17.8,18.57,17.61,18.29,4811885
COF,132.49,132.81,124.7,124.8,4877850
COO,419.78,420.44,397.675,401.21,572768
COP,100.49,102.77,98.12,100.27,13788829
COST,523.45,545.29,523.4222,528.52,3896920
COTY,8.17,8.225,7.33,7.35,20032610
CPB,45.31,45.87,44.72,45.52,3639669
CPRI,52.55,53.5495,46.16,46.16,9512484
CPRT,118.55,118.78,109.54,109.64,2085432
CPT,171.81,173.85,169.95,170.18,760062
CPWR,0.0071,0.0115,0.0071,0.009000000000000001,367848
CRL,280.96,280.96,261.82,266.47,812388
