Ticker,open,high,low,close,volume
A,120.31,123.58,119.53,122.4,2310072
AA,60.16,64.47,60.11,62.05,6751699
AAL,16.63,17.14,16.57,16.75,28299755
AAP,194.6,199.89,191.665,196.07,683678
AAPL,139.88,141.66,136.6,137.35,136095640
ABBV,151.2,152.4,149.28,151.72,5994936
ABC,149.43,150.43,146.83,149.38,1373678
ABMD,239.3,243.765,237.57,238.65,637255
ABT,112.03,113.01,110.52,112.44,6304787
ACN,270.15,278.0,269.7,273.61,2679603
ADBE,399.01,403.035,391.565,394.38,2797416
ADI,160.85,164.17,159.08,160.94,3812610
ADM,83.37,84.72,81.45,83.86,4326841
ADP,208.08,209.55,205.54,206.85,1617935
ADSK,187.4,196.815,186.2798,193.72,1554511
ADT,6.83,7.08,6.82,7.0,1780163
AEE,92.52,92.8,91.38,92.48,1392393
AEP,99.47,99.59,97.57,99.04,2749774
AES,20.17,20.865,20.17,20.67,5312607
AFL,55.71,56.55,54.93,55.6,2512810
AIG,57.5,58.85,57.45,57.9,4576281
AIV,5.89,6.0,5.79,5.9,2073109
AIZ,185.29,186.36,179.175,180.44,588578
AJG,155.32,156.61,152.98,155.25,760890
AKAM,96.74,99.7,96.59,98.48,3587574
ALB,234.68,243.12,233.88,239.08,1067927
ALGN,267.07,278.795,265.51,273.89,782784
ALK,45.95,47.7,45.855,46.76,1557521
ALL,126.51,127.44,123.96,125.79,1470255
ALLE,108.46,110.01,107.37,108.81,560053
ALTR,51.13,53.28,51.03,52.19,300595
AMAT,111.41,113.48,110.2,110.74,10115754
AMCR,12.62,13.07,12.61,12.96,14060801
AMD,96.69,100.69,95.09,96.67,141506170
AME,115.13,118.15,114.37,116.71,988176
AMG,122.79,126.785,121.47,124.53,271850
AMGN,242.35,245.86,241.86,244.77,2414166
AMP,255.03,261.01,253.2,253.92,730043
AMT,230.0,236.188,229.21,233.25,1825919
AMZN,106.2805,110.03399999999999,106.19290500000001,107.319,88142540
AN,109.24,110.99,108.0,109.76,777788
ANET,101.02,102.9,98.52,101.1,1958145
ANF,29.33,29.68,28.27,29.06,2893920
ANSS,243.09,252.66,243.01,248.0,666058
AON,267.52,268.26,262.52,266.66,756463
AOS,57.23,59.295,56.92,58.45,924315
APA,39.48,41.9,39.33,40.82,7227409
APD,232.74,236.805,231.69,234.22,725150
APH,67.35,68.39,66.99,67.59,3201598
APTV,93.93,97.315,92.94,94.93,2330529
ARE,157.9,160.35,156.94,157.82,1123717
ATI,26.5,27.72,25.805,26.14,2059184
ATO,111.17,111.93,109.9184,111.37,937773
ATVI,77.92,78.29,77.4099,77.74,4844448
AVB,199.84,201.77,197.615,199.36,712108
AVGO,558.0,560.75,538.96,546.21,3488421
AVY,166.96,169.25,165.17,167.82,555643
AWK,144.07,145.465,142.36,145.05,940307
AXP,153.57,156.46,153.25,154.0,2768341
AYI,165.91,170.14,164.93,166.87,263431
AZO,1830.0,1919.57,1817.73,1889.39,304266
BA,124.4,128.4,123.7,127.14,8075776
BAC,34.29,34.84,34.25,34.45,47002714
BALL,69.92,71.12,69.12,69.7,3929390
BAX,71.55,72.71,71.16,72.6,2580671
BBBY,8.72,9.8295,8.6,9.66,8018947
BBWI,40.5,41.01,38.35,40.03,19036912
BBY,73.99,76.42,72.36,73.32,5333310
BDX,249.58,252.495,246.07,251.14,1234586
BEAM,31.84,35.14,31.84,33.94,1324050
BEN,24.82,25.49,24.76,25.11,3062409
BF.B,61.87,62.4,60.23,61.92,1023277
BHF,46.1,47.11,45.27,45.78,617647
BIG,28.8,30.15,27.8,29.31,1477531
BIIB,195.32,195.55,191.46,193.09,1171104
BIO,500.04,527.06,500.04,523.32,237452
BK,42.48,43.75,42.44,43.32,7209986
BKNG,2059.62,2142.43,2042.58,2103.4,387387
BKR,33.9,35.57,33.78,34.97,7785634
BLK,585.5,599.37,582.58,593.08,1301119
BMY,76.09,76.79,75.685,75.96,14858836
BR,135.53,139.65,135.39,138.02,439636
BRK.B,303.93,306.3144,301.21,304.15,4743746
BRO,55.03,55.36,53.9091,54.71,3081399
BSX,39.73,40.25,39.075,39.49,9555980
BTU,21.14,23.0,20.95,21.99,4499641
BWA,37.9,39.56,37.79,38.86,2411967
BXP,108.74,110.25,105.04,105.08,1460025
C,48.66,50.295,48.59,49.78,27279373
CAG,32.0,32.085,31.31,31.74,5213643
CAH,55.0,56.16,54.49,55.83,2550047
CARR,37.1,38.01,36.91,37.41,4142417
CAT,205.86,209.28,201.705,206.76,2887724
CB,205.41,206.37,199.355,203.88,2535202
CBOE,104.41,107.35,103.8197,105.56,577856
CBRE,78.31,80.98,78.275,79.91,2533725
CCI,174.6,179.53,174.16,178.38,1751268
CCK,100.42,101.88,99.4,101.05,1226785
CCL,13.67,13.94,13.485,13.58,37607187
CDAY,55.29,57.1,55.06,55.65,2565207
CDNS,136.27,146.94,136.27,143.83,2436451
CDW,162.52,164.21,158.91,161.95,949443
CE,149.82,152.52,148.53,150.02,934617
CEG,57.13,57.51,54.92,57.23,2181111
CF,100.19,102.39,97.56,100.35,3020687
CFG,37.43,38.1,37.35,37.7,5379915
CHD,89.55,89.604,87.31,88.22,1478026
CHK,84.93,88.9279,84.93,87.12,1749587
CHRW,102.3,102.7,99.53,101.19,1348012
CHTR,469.15,479.4,465.88,474.57,1136538
CI,255.46,259.15,253.13,256.88,1692008
CIEN,49.0,50.56,48.78,49.82,2223467
CINF,122.99,124.29,119.98,122.67,670321
CL,74.67,75.36,73.92,75.12,5477145
CLF,21.0,22.055,20.87,21.59,14766711
CLX,143.82,143.82,137.4671,138.15,2385924
CMA,74.08,75.31,72.15,72.8,2118186
CMCSA,41.92,42.425,41.8,42.02,17423745
CME,186.71,191.36,186.19,190.15,1611306
CMG,1238.77,1290.34,1233.25,1272.49,233743
CMI,200.03,204.91,196.9,201.88,931648
CMS,68.71,69.42,68.15,69.21,1679727
CNC,80.78,83.42,80.58,82.64,1995877
CNP,30.49,30.82,30.29,30.66,3511007
CNX,19.24,20.18,19.05,19.71,8512511
COF,112.46,114.95,112.23,113.33,2508766
COO,331.57,339.69,331.57,338.68,425617
COP,101.13,106.01,101.13,103.91,6784087
COST,430.37,430.5253,418.72,422.93,5839640
COTY,6.0,6.51,5.97,6.39,12502150
CPB,45.8,46.57,45.02,46.06,2583166
CPRI,41.8,43.4,41.255,42.65,2776413
CPRT,108.67,113.04,106.31,110.9,1793140
CPT,137.27,139.38,137.1422,138.0,664241
CPWR,0.00835,0.00835,0.008,0.008,24945
CRL,224.32,234.84,223.92,231.77,412139
CRM,155.23,159.25,154.73,155.6,8382193
