Ticker,open,high,low,close,volume
A,114.6,118.75,114.27,118.6,1801564
AA,47.98,48.795,45.22,46.62,8209069
AAL,13.02,13.175,12.58,12.98,31067771
AAP,176.34,179.04,175.1301,178.63,644060
AAPL,136.82,138.59,135.63,138.27,72433768
ABBV,148.72,150.8,147.54,149.45,7794996
ABC,145.91,146.39,143.63,144.6,1028751
ABMD,239.37,250.01,236.29,248.62,306550
ABT,105.95,106.78,105.07,106.21,5064908
ACN,276.0,286.28,275.0,285.83,3482141
ADBE,371.71,378.18,367.47,376.64,2534343
ADI,149.02,149.205,143.94,145.54,2946065
ADM,77.49,77.49,71.6,71.75,6445189
ADP,209.51,211.17,208.19,210.58,1357600
ADSK,173.14,183.87,171.95,183.41,2636937
ADT,6.16,6.24,6.045,6.15,2515317
AEE,83.44,85.38,83.34,85.31,1682566
AEP,91.12,92.62,90.83,92.41,2991889
AES,20.28,20.77,20.25,20.7,4685135
AFL,54.14,54.48,53.17,53.65,1954850
AIG,51.2,51.5,49.38,49.6,6695189
AIV,6.1,6.16,5.94,6.1,3172051
AIZ,171.64,172.14,167.07,169.31,842157
AJG,158.3,160.28,157.18,160.04,765730
AKAM,91.41,92.17,90.54,91.87,1420178
ALB,217.03,219.6,209.31,213.62,1163069
ALGN,237.98,252.57,236.62,251.12,1164177
ALK,39.85,40.3,38.87,39.9,1824407
ALL,122.34,123.27,120.62,121.81,1368752
ALLE,95.29,97.075,94.9,96.81,655576
ALTR,52.39,54.54,52.06,54.18,346922
AMAT,94.63,95.32,92.11,93.28,8286278
AMCR,11.86,11.95,11.745,11.94,9544031
AMD,84.315,84.41,80.2251,82.43,100614559
AME,108.61,109.24,106.97,108.96,959546
AMG,117.48,118.71,115.91,118.54,170549
AMGN,241.72,244.02,240.91,243.09,3229579
AMP,241.71,242.53,235.07,239.56,478975
AMT,253.06,259.795,252.73,258.31,2553123
AMZN,110.39,113.0,107.93,112.44,64345300
AN,113.17,113.39,109.81,111.7,419776
ANET,94.25,96.44,93.93,95.36,2251519
ANF,18.89,19.13,18.405,18.61,1341758
ANSS,239.99,247.0,236.24,246.54,820189
AON,259.37,264.835,256.9819,263.99,1092410
AOS,53.03,54.18,53.03,54.13,1085263
APA,37.76,38.44,35.42,36.21,9729217
APD,240.47,242.78,238.51,242.06,1177286
APH,63.56,64.11,62.95,64.03,2080375
APTV,90.83,92.4,89.75,92.14,2723786
ARE,133.04,138.21,133.04,137.95,1364701
ATI,22.69,22.69,20.87,21.57,1702702
ATO,106.23,107.3,106.21,107.04,669816
ATVI,76.3,76.67,75.77,76.49,3613979
AVB,192.36,196.76,192.36,196.49,678253
AVGO,501.75,501.75,491.01,496.58,1670776
AVY,155.33,156.275,152.94,155.49,694552
AWK,137.98,144.77,137.7534,144.58,1136450
AXP,144.52,144.63,139.47,141.65,3915027
AYI,149.785,149.785,142.71,146.36,772111
AZO,2100.0,2119.275,2067.0,2108.64,154109
BA,136.42,137.42,130.0917,133.97,10746906
BAC,32.38,32.405,31.26,32.08,44091460
BALL,65.13,65.94,64.25,65.72,1660735
BAX,64.93,65.56,64.35,65.08,2413274
BBBY,6.55,7.15,6.47,7.13,5735505
BBWI,30.0,30.19,28.885,29.54,5214388
BBY,70.12,71.79,70.03,71.29,2421943
BDX,238.01,242.76,238.01,242.54,721434
BEAM,39.34,41.83,38.3,41.57,1259092
BEN,24.09,24.415,23.86,24.37,1877806
BF.B,69.31,69.8704,68.98,69.5,672979
BHF,41.26,41.31,39.47,40.28,514737
BIG,21.36,21.71,20.7905,21.66,899873
BIIB,207.73,211.91,207.7,211.38,864055
BIO,480.9,507.565,479.9579,505.58,161316
BK,42.13,42.37,41.21,42.0,4429557
BKNG,1871.64,1876.24,1795.01,1835.06,602016
BKR,29.58,29.8,28.08,28.66,11185284
BLK,613.41,628.69,609.33,624.71,849903
BMY,76.56,77.76,76.56,77.69,12241262
BR,136.37,139.11,135.59,138.71,335982
BRK.B,269.85,270.71,263.68,267.52,4732399
BRO,55.87,57.64,55.66,57.29,1578937
BSX,37.16,37.5,36.72,36.94,6656832
BTU,22.71,22.82,20.2701,21.14,6605377
BWA,35.18,35.625,34.31,34.82,2232693
BXP,89.5,90.38,88.87,90.0,1246323
C,46.87,46.91,45.59,46.35,24137158
CAG,32.63,33.3595,32.52,33.31,3164725
CAH,52.82,53.535,52.55,53.02,1607488
CARR,34.67,34.98,34.47,34.82,6798321
CAT,186.58,187.23,176.02,178.67,6667926
CB,189.87,191.02,185.1,186.97,1312434
CBOE,109.35,112.8,109.35,112.35,443979
CBRE,71.53,72.09,71.175,71.77,1993152
CCI,168.84,172.4799,168.42,171.58,1608112
CCK,90.67,91.13,88.09,89.58,1334093
CCL,9.62,9.745,9.22,9.65,48309630
CDAY,45.52,48.33,45.09,48.28,1675570
CDNS,147.96,151.36,145.14,151.06,1840846
CDW,160.63,161.07,156.98,158.12,703119
CE,120.66,121.18,118.13,120.32,1081897
CEG,59.88,61.23,57.79,58.65,2667573
CF,88.68,89.03,80.35,80.6,4906795
CFG,36.13,36.27,34.79,35.15,6535685
CHD,87.96,90.9,87.68,90.67,1771992
CHK,83.56,83.75,75.02,76.34,4052010
CHRW,100.935,100.935,98.89,100.29,619177
CHTR,446.16,456.58,446.16,455.13,822254
CI,257.29,260.28,254.92,259.68,1774209
CIEN,44.5,46.405,44.47,46.14,2477287
CINF,115.97,116.47,112.85,113.58,687444
CL,78.15,79.1799,78.12,78.88,3932416
CLF,16.29,16.33,15.31,15.68,20438627
CLX,132.9,140.3,132.9,140.11,2645440
CMA,75.36,75.36,72.07,72.92,1079254
CMCSA,38.93,39.2,38.47,39.11,26629375
CME,209.31,211.29,206.405,208.46,1217655
CMG,1265.03,1292.63,1254.95,1289.52,191775
CMI,192.69,194.46,184.275,185.89,1227245
CMS,63.06,64.2,62.97,64.12,1716959
CNC,82.33,84.28,82.05,83.64,2914348
CNP,27.87,28.33,27.8,28.25,3733663
CNX,17.26,17.34,16.155,16.49,4516534
COF,105.33,105.66,102.3681,104.21,2486260
