Ticker,open,high,low,close,volume
CPRT,116.64,117.37,114.76,114.93,1488379
CPT,144.32,144.32,139.65,139.84,869730
CPWR,0.0295,0.0295,0.0189,0.025,666090
CRL,246.63,247.65,242.4,245.02,291619
CRM,188.93,190.42,181.7,182.87,5811718
CSCO,45.603,46.09,45.125,45.33,12641918
CSX,32.28,32.345,31.86,32.14,12707004
CTAS,399.67,401.6,396.59,397.42,370393
CTLT,111.92,112.33,110.6,111.23,1031179
CTRA,35.75,36.06,35.4,35.95,7962983
CTSH,74.25,74.54,73.51,73.88,2050993
CTVA,62.2,62.415,61.38,61.72,2699305
CTXS,99.8,100.56,99.22,99.34,2081670
CVS,95.31,96.31,94.61,95.72,3925135
CVX,177.9,178.0,175.5103,176.83,6734222
CZR,51.5,52.64,51.08,52.34,2955325
D,82.99,83.435,82.62,82.73,3090024
DAL,39.0,39.29,38.305,39.0,12330408
DD,67.4899,68.54,67.06,67.67,2362117
DE,363.17,363.81,358.58,362.91,1011087
DELL,51.1102,51.29,49.94,50.04,2722880
DFS,110.9,112.05,109.39,111.0,1229762
DG,228.61,232.65,227.18,232.47,1879212
DGX,136.9,137.813,135.27,135.84,511184
DHI,76.18,77.14,75.21,75.6,3641594
DHR,268.51,269.69,263.09,263.74,1394190
DIS,109.75,110.19,107.65,107.83,7575890
DISH,21.82,21.86,21.28,21.52,2348999
DLR,134.5,135.94,134.25,134.91,1357354
DLTR,161.0,161.58,158.38,161.45,1198410
DNB,16.33,16.71,16.32,16.56,1404468
DO,8.45,8.92,8.245,8.71,4064731
DOV,134.11,134.65,132.7775,133.19,751342
DOW,67.04,67.61,66.67,67.07,3117322
DPZ,370.01,378.48,368.285,377.27,473761
DRE,53.72,53.72,52.83,53.01,1107645
DRI,126.5,126.7388,124.315,125.92,951228
DTE,132.32,133.329,131.7454,132.57,604399
DUK,111.51,112.08,110.93,111.11,1483238
DV,23.14,23.19,21.7,22.45,541720
