Ticker,open,high,low,close,volume
A,117.38,120.715,117.27,119.38,1328411
AA,57.29,59.68,56.9,58.33,7740582
AAL,15.84,16.6484,15.82,16.58,31753104
AAP,208.89,215.73,208.8,211.21,593136
AAPL,144.59,148.105,143.11,147.11,113990852
ABBV,153.42,154.39,151.895,153.5,6398527
ABC,151.88,154.05,150.155,152.89,1974542
ABMD,240.03,254.55,240.03,254.16,471250
ABT,108.36,110.51,108.36,109.88,6159308
ACN,283.04,288.67,280.99,286.77,2373571
ADBE,396.47,408.97,393.94,405.45,3379472
ADI,155.04,159.7,153.88,158.74,4783360
ADM,85.38,85.985,84.42,85.39,2895646
ADP,209.27,209.98,206.87,208.79,2390845
ADSK,187.12,197.5,186.56,197.07,1731426
ADT,6.76,7.125,6.76,6.99,2045530
AEE,93.09,93.3,91.6,93.11,1413505
AEP,98.75,99.82,97.8901,99.69,2270468
AES,19.83,20.44,19.73,20.24,5685266
AFL,56.33,56.7,55.84,56.28,3061951
AIG,59.02,59.55,58.21,58.56,6119427
AIV,5.59,5.84,5.59,5.82,1855334
AIZ,179.94,182.0,179.67,181.62,310152
AJG,158.64,162.68,158.2,162.02,947869
AKAM,97.68,99.35,97.13,98.67,1886443
ALB,217.3,231.21,215.5,228.82,1078597
ALGN,264.42,276.84,264.42,275.52,1112521
ALK,45.28,46.4495,45.05,46.15,2044236
ALL,128.12,128.9,127.1,128.19,1384675
ALLE,112.0,112.99,111.05,112.78,627261
ALTR,51.74,53.885,51.02,53.07,492667
AMAT,108.19,112.6319,108.03,111.86,8321070
AMCR,12.67,12.87,12.61,12.77,12762649
AMD,88.3,96.57,88.22,95.12,138068070
AME,121.07,122.49,120.0,121.04,1446402
AMG,121.44,125.9,121.44,124.85,183740
AMGN,244.64,245.0,241.29,243.4,2632099
AMP,255.0,262.69,254.95,261.61,719163
AMT,227.18,232.89,226.185,232.66,2229477
AMZN,109.069,113.184,107.8,113.055,93684560
AN,120.23,125.66,119.9,123.68,946302
