Ticker,open,high,low,close,volume
A,128.91,130.07,126.72,127.56,3403072
AA,66.09,67.52,61.305,61.72,18488763
AAL,17.7,18.22,17.51,17.87,31158272
AAP,191.23,191.8,188.25,189.86,987482
AAPL,149.07,150.66,146.84,148.84,103718416
ABBV,148.64,148.88,146.665,147.37,11227814
ABC,156.0,156.38,153.73,154.79,4329603
ABMD,263.94,265.04,256.13,263.7,662574
ABT,115.56,118.09,114.4,117.46,10563503
ACN,302.4,303.32,296.7,298.46,4143704
ADBE,427.22,427.29,412.79,416.48,7944164
ADI,166.9,169.59,163.59,168.4,5102506
ADM,89.41,91.806,89.09,90.82,8762162
ADP,224.16,225.2315,221.32,222.94,3007225
ADSK,209.69,210.025,204.06,207.75,3012779
ADT,7.46,7.48,7.265,7.48,2276106
AEE,95.5,96.03,94.55,95.19,1581315
AEP,102.78,103.15,101.19,102.03,3319510
AES,22.26,22.37,21.985,22.04,5242288
AFL,59.91,60.96,59.4,60.57,8136974
AIG,58.65,59.755,58.17,58.68,5639188
AIV,6.27,6.375,6.235,6.28,2108946
AIZ,179.55,180.69,176.43,176.69,1555906
AJG,164.93,164.93,161.58,161.94,1471170
AKAM,102.04,102.04,100.27,101.04,2203849
ALB,265.09,265.76,254.26,260.42,2705859
ALGN,284.7,286.4,272.165,277.64,1677920
ALK,47.34,48.765,46.88,48.26,1818733
ALL,135.2,137.5,133.82,136.69,6403508
ALLE,111.97,112.77,110.43,111.65,1230451
ALTR,55.05,55.41,54.16,54.96,471578
AMAT,117.55,118.68,115.56,117.29,9751329
AMCR,13.17,13.26,13.005,13.1,35769085
AMD,102.43,104.55,100.04,101.86,125102894
AME,121.28,122.3895,119.605,121.47,1467575
AMG,133.71,134.33,130.25,133.62,205604
AMGN,255.0,257.26,251.01,256.74,6737597
AMP,275.54,279.14,272.98,276.27,1919616
AMT,257.76,259.04,255.23,256.13,2829603
AMZN,116.28,121.994495,115.675,120.2095,144634160
AN,121.79,121.9,117.72,119.56,773721
ANET,104.8,105.28,101.99,102.28,4022593
ANF,22.22,22.32,20.11,20.44,3854458
ANSS,263.7,263.7,256.19,260.36,672777
AON,278.42,280.7,273.79,275.67,3664562
AOS,60.63,61.0,59.47,60.12,2994700
APA,49.73,50.46,46.2,47.01,37978516
APD,247.66,250.05,245.67,246.16,1407124
APH,70.89,71.44,69.98,70.86,3779557
APTV,104.35,107.3,102.355,106.24,3235173
ARE,167.15,167.67,165.39,165.95,1519858
ATI,27.26,28.04,27.02,27.5,1234380
ATO,116.49,116.49,115.1,116.31,2783182
ATVI,77.88,78.83,77.365,77.88,11771223
AVB,209.07,209.56,206.495,207.96,1272625
AVGO,584.5,587.025,576.0,580.13,3000940
AVY,171.05,174.0,168.74,172.56,1103114
AWK,150.59,151.84,147.32,151.25,1555929
AXP,167.94,170.78,167.04,168.82,4123507
AYI,175.57,176.54,171.93,175.02,293054
AZO,2056.08,2082.07,2033.71,2059.65,244782
BA,131.03,132.99,128.86,131.4,7953651
BAC,36.815,37.53,36.61,37.2,71609155
BALL,72.29,72.715,70.71,70.89,2776262
BAX,75.38,76.51,74.75,76.05,3853439
BBBY,9.18,9.4864,8.57,8.65,4035620
BBWI,42.03,42.2,40.82,41.02,5610721
BBY,83.77,85.3,81.4,82.06,4922963
BDX,253.42,257.37,250.93,255.8,1401005
BEAM,35.44,36.52,33.46,35.18,1795276
BEN,27.36,27.565,26.93,27.08,5173162
BF.B,66.07,66.55,65.2996,66.12,1499417
BHF,49.02,49.97,48.6,49.12,668953
