Ticker,open,high,low,close,volume
A,119.52,121.56,117.93,121.06,3152172
AA,69.78,70.9984,67.0812,70.52,5643487
AAL,19.13,19.5574,18.635,19.43,27601003
AAP,218.49,218.49,204.08,209.39,2010994
AAPL,159.25,164.515,158.93,163.64,130216792
ABBV,158.36,158.44,154.335,156.31,7466852
ABC,157.82,158.92,157.04,157.75,1060819
ABMD,283.77,291.28,274.665,287.22,483379
ABT,117.55,118.74,116.83,118.01,4960091
ACN,308.16,316.14,305.62,313.84,2215301
ADBE,406.13,414.2749,398.49,410.53,2593890
ADI,154.13,162.27,153.725,160.45,4155950
ADM,94.67,94.73,91.16,92.51,5021087
ADP,229.22,231.69,227.579,229.68,2249633
ADSK,185.25,198.04,184.95,195.84,2083668
ADT,6.9,7.075,6.79,7.01,1323860
AEE,94.64,95.64,94.01,95.45,1155441
AEP,100.06,102.76,98.45,102.43,4362565
AES,21.17,21.28,20.71,21.04,4263741
AFL,60.5,60.5,57.76,59.26,4294259
AIG,59.77,60.45,58.49,60.04,4623838
AIV,6.58,6.65,6.4199,6.61,1072318
AIZ,186.63,186.7,183.74,186.22,388588
AJG,176.6,179.45,174.75,179.33,964124
AKAM,114.63,116.565,114.05,115.83,933528
ALB,194.19,196.29,187.78,195.26,943384
ALGN,282.0,306.955,270.3701,304.66,4214722
ALK,55.29,55.72,53.71,55.54,1722073
ALL,129.67,131.11,128.76,130.34,1355203
ALLE,116.89,120.4,115.24,119.2,1222479
ALTR,54.35,55.77,53.78,55.11,337348
AMAT,111.41,115.99,109.59,114.63,7379070
AMCR,12.03,12.2,11.795,12.14,14580119
AMD,86.67,90.58,84.78,89.64,91495449
AME,127.4,128.67,125.6,128.13,1582733
AMG,131.6,133.005,128.46,132.03,261801
AMGN,235.725,242.91,231.15,238.13,6609483
AMP,268.66,274.4975,265.24,272.91,596879
AMT,252.62,253.86,245.21,252.18,2417451
AMZN,142.178,145.9375,140.3,144.5965,117316940
AN,114.96,117.05,111.8,116.25,830732
ANET,117.2,121.82,116.15,120.91,2095618
ANF,35.48,35.98,34.66,35.53,855567
ANSS,272.78,289.46,272.78,287.31,632604
AON,313.74,320.21,306.85,318.0,1114332
AOS,62.26,62.97,58.37,59.87,2283813
APA,40.48,41.975,38.925,41.45,7272669
APD,239.83,242.07,234.83,240.48,1516420
APH,71.33,73.88,70.94,73.55,3837087
APTV,106.01,108.5,103.07,107.84,1395535
ARE,188.45,190.92,187.41,190.44,800476
ATI,27.49,28.47,27.05,28.03,1201880
ATO,116.73,117.58,115.8,116.81,819485
ATVI,76.45,77.36,76.18,76.7,8164756
AVB,238.93,241.795,236.5,239.5,694259
AVGO,565.94,585.02,557.97,578.94,2233400
AVY,181.86,184.24,178.85,183.57,723453
AWK,156.38,161.3297,155.77,160.68,786464
AXP,180.35,183.89,177.61,181.98,2706061
AYI,175.49,178.34,172.98,177.95,197413
AZO,2085.88,2085.88,2010.49,2014.44,333760
BA,156.61,156.79,149.0,154.22,13518816
BAC,36.73,36.95,36.16,36.81,39567841
BALL,81.52,83.53,80.6,82.93,1816200
BAX,71.16,74.65,69.88,70.8,8440963
BBBY,14.83,14.9,13.82,14.75,5485699
BBWI,53.95,55.03,53.03,54.36,3606731
BBY,93.58,94.41,91.75,93.58,1442072
BDX,254.21,255.46,250.355,253.16,959689
BEAM,39.88,40.96,36.305,39.57,1503240
BEN,25.99,26.11,25.295,25.95,3699485
BF.B,67.36,68.8,67.05,68.7,891373
BHF,52.14,52.82,50.83,52.7,431131
BIG,32.93,33.48,32.32,32.96,841384
BIIB,207.79,211.29,204.86,210.41,876739
BIO,508.76,517.325,500.05,513.11,263779
BK,43.21,43.54,42.35,43.46,5682949
BKNG,2285.81,2363.45,2259.215,2317.8,485097
BKR,31.5,32.4,30.86,31.97,11759061
BLK,650.0,654.3972,639.32,650.97,1127308
BMY,76.77,77.745,76.215,77.2,21440121
BR,148.82,150.65,147.6,150.22,324053
BRK.B,331.53,332.06,327.83,331.27,3847727
BRO,65.3,66.2,64.3,65.77,1901351
BSX,43.44,43.61,42.0,42.73,8550060
BTU,23.3,25.15,20.7112,24.5,26924291
BWA,37.29,37.8033,36.505,37.59,1519456
BXP,122.74,123.99,121.5184,123.53,701178
C,49.91,50.03,49.01,50.02,20121028
CAG,35.55,35.93,35.22,35.92,3993496
CAH,60.12,60.42,58.97,59.82,2146688
CARR,36.28,39.655,36.23,39.41,15034767
CAT,207.425,212.96,202.0,212.44,6094275
CB,212.48,213.38,208.7,211.17,1986706
CBOE,116.18,117.08,114.34,115.27,741127
CBRE,84.08,85.97,83.3,85.61,1441725
CCI,188.97,192.31,186.52,192.07,1603435
CCK,108.52,111.84,108.1,111.12,1425622
CCL,17.73,18.0,17.1246,17.83,30952074
CDAY,56.83,58.23,55.76,57.97,1626899
CDNS,155.88,160.965,153.07,159.01,1763659
CDW,164.08,168.99,163.5,168.64,1227162
CE,140.62,143.77,138.68,142.93,1408884
CEG,60.22,61.35,58.8,61.31,3355737
CF,97.19,99.22,94.945,98.54,1976621
CFG,40.27,40.65,39.35,40.3,6822704
CHD,99.37,101.71,97.7,100.4,2406299
CHK,84.18,85.62,81.69,84.46,1359028
CHRW,106.74,110.45,106.27,110.34,2142754
CHTR,481.19,481.69,449.585,461.49,3211156
CI,252.9,254.74,249.76,254.24,917601
CIEN,55.51,57.19,55.15,57.01,1026702
CINF,135.21,136.54,133.62,136.0,670800
CL,80.87,81.53,80.26,81.22,5400199
CLF,27.71,27.77,26.58,27.44,16694579
CLX,147.5,149.425,145.85,148.34,1143704
CMA,84.11,85.025,81.69,84.66,2127346
CMCSA,42.73,43.72,40.76,41.7,49934016
CME,226.11,228.12,222.71,225.72,1473457
CMG,1504.01,1526.7025,1462.75,1500.82,300283
CMI,196.08,196.77,192.53,194.48,915040
CMS,70.37,71.09,69.76,70.87,2036964
CNC,81.41,82.13,80.3,81.59,3495581
CNP,31.38,31.59,31.23,31.44,5835155
CNX,21.22,21.5,20.32,21.15,4049244
COF,125.77,130.51,125.13,129.38,3265318
COO,379.26,379.26,367.62,373.16,256419
COP,92.34,97.76,90.5,96.85,9521302
COST,555.47,564.8,545.8,562.0,2118683
COTY,8.12,8.32,7.96,8.25,6239711
CPB,47.3,48.29,46.99,48.27,2802431
CPRI,48.33,49.36,46.94,48.88,1282344
CPRT,114.39,117.29,113.3,116.73,1233174
CPT,162.1,163.165,159.64,162.15,1187855
CPWR,0.0099,0.0102,0.0072,0.009000000000000001,148490
CRL,235.0,245.91,234.605,242.17,819644
CRM,181.41,186.93,178.98,185.74,10617861
CSCO,49.53,50.78,49.205,50.63,20170660
CSX,34.52,35.36,34.41,35.21,12859475
CTAS,405.12,412.54,401.76,410.7,579742
CTLT,89.05,90.1,86.34,89.9,1743255
CTRA,28.95,29.3888,28.06,29.15,7222913
CTSH,83.7,84.43,82.78,83.97,3237463
CTVA,57.71,58.055,56.865,57.82,4602194
CTXS,100.92,101.03,100.62,100.71,774736
CVS,101.74,102.6,100.37,100.85,5909498
CVX,157.45,163.0,154.93,161.79,9366444
CZR,64.475,68.02,63.78,67.39,3220782
D,83.64,84.24,83.08,83.87,2944540
DAL,43.51,44.415,42.89,44.33,11953005
DD,66.81,67.58,65.41,67.58,2784091
DE,387.84,390.06,375.0,384.82,1515758
DELL,47.13,48.43,46.855,48.12,2605049
DFS,116.95,118.91,110.2,115.98,2806234
DG,245.68,247.84,242.555,246.58,1241811
DGX,137.79,138.01,133.985,135.83,1192485
DHI,71.88,73.88,69.37,72.86,4773342
DHR,255.74,259.26,252.12,257.0,4352291
DIS,115.22,116.0,112.69,115.29,23192139
DISH,30.82,30.92,29.47,30.52,2571177
DLR,149.12,151.8,146.44,151.5,1937387
DLTR,166.9,167.6,164.68,167.11,1352519
DNB,15.96,16.47,15.66,16.31,848533
DO,7.4,7.95,7.3412,7.95,1160349
DOV,138.76,140.65,136.42,139.49,1392434
DOW,68.04,68.04,66.11,67.81,5533819
DPZ,350.95,361.69,335.63,353.88,1938240
DRE,59.39,60.49,58.57,59.95,1759522
DRI,132.31,135.6314,130.83,133.9,654459
DTE,134.0,136.42,133.5,135.52,989083
DUK,113.57,114.7,112.6,113.8,2734076
DV,21.85,23.32,21.27,22.53,470396
DVA,108.82,110.685,107.39,109.91,698170
DVN,58.29,60.52,56.49,59.89,7939950
DXC,29.3,29.66,28.54,29.58,2271796
DXCM,103.75,104.4175,99.5675,103.3075,4605552
DYN,7.49,8.59,7.3,8.1,481361
EA,122.82,124.295,121.67,123.41,1662976
EBAY,52.47,54.05,52.15,53.77,6008451
ECL,171.47,176.08,169.2,175.31,1970656
ED,95.05,95.95,94.45,95.44,1096768
EFX,202.78,208.19,199.74,206.33,1630671
EIX,70.79,71.4,70.13,70.8,1427904
EL,262.3,274.71,262.12,272.33,1482535
ELV,510.03,519.19,505.135,516.74,1181185
EMN,106.12,107.47,103.92,107.39,1423627
EMR,91.28,92.56,90.15,92.31,2320881
ENDP,2.09,2.15,1.92,2.12,7960321
ENPH,170.39,172.48,156.42,164.47,3332616
