Ticker,open,high,low,close,volume
A,120.45,121.24,116.72,117.06,1426079
AA,50.12,51.0999,48.8677,49.25,5222532
AAL,13.799000000000001,14.48,13.47,13.5,36545390
AAP,184.72,186.225,177.93,178.75,672963
AAPL,142.13,143.422,137.325,137.44,67315328
ABBV,153.17,155.115,151.39,152.49,5735763
ABC,148.9,150.0,143.15,143.19,1731808
ABMD,254.66,258.21,248.54,249.08,190625
ABT,109.25,109.93,106.9,106.97,4195684
ACN,293.09,296.53,283.49,283.8,2167734
ADBE,381.0,382.98,364.45,365.63,2660047
ADI,151.41,153.16,148.37,148.49,2786498
ADM,76.56,78.29,75.66,75.99,2727212
ADP,218.72,220.3975,213.91,214.06,1412971
ADSK,186.62,186.62,176.31,176.81,1561054
ADT,6.65,6.74,6.35,6.37,3871178
AEE,89.36,90.4,89.055,89.6,1628142
AEP,95.09,96.19,94.78,95.08,2318480
AES,21.7,21.86,21.135,21.19,4235146
AFL,56.62,57.1899,55.865,55.9,2627915
AIG,52.69,53.41,51.77,51.81,3495500
AIV,6.31,6.41,6.22,6.25,1011205
AIZ,174.46,176.36,172.97,173.0,376761
AJG,166.01,167.38,162.55,163.18,936859
AKAM,94.6,95.105,92.25,92.39,1340813
ALB,226.0,232.78,222.215,223.19,1586193
ALGN,251.51,254.76,241.43,241.92,702511
ALK,41.54,42.82,40.68,40.78,1244020
ALL,127.22,128.14,125.61,125.7,1341258
ALLE,99.31,100.351,98.11,98.4,529394
ALTR,51.15,51.75,50.47,51.25,914196
AMAT,98.11,98.91,94.74,95.02,6495010
AMCR,12.42,12.535,12.28,12.33,8955300
AMD,85.71,86.73,80.43,80.78,95752533
AME,113.12,113.71,109.91,110.12,998359
AMG,124.33,125.0768,121.395,122.29,214252
AMGN,245.93,247.58,243.39,243.51,2430090
AMP,250.66,252.775,243.64,243.76,628660
AMT,260.0,260.48,252.12,252.93,1601891
AMZN,113.5,114.85,107.04,107.4,75172028
AN,117.46,119.48,115.4,115.81,658183
ANET,98.89,100.05,95.11,95.26,1468100
ANF,18.8,19.23,18.29,18.3,1505624
ANSS,250.75,251.75,239.94,240.14,535335
AON,272.18,275.89,265.56,265.66,538827
AOS,55.94,56.75,54.99,55.18,1107374
APA,38.89,39.85,37.92,38.77,9121059
APD,245.89,248.5,241.915,242.51,778750
APH,66.47,66.89,64.61,64.72,1761687
APTV,97.63,100.33,95.52,95.61,1679957
ARE,146.51,148.52700000000002,144.23,144.5,1403268
ATI,23.63,24.28,23.045,23.11,1270216
ATO,111.05,112.17,110.465,110.65,521212
ATVI,78.095,78.24,76.945,77.16,4216401
AVB,199.09,202.12,196.6,197.06,469984
AVGO,512.61,514.15,498.105,498.45,1566904
AVY,167.65,169.24,163.915,164.12,411599
AWK,149.09,149.51,144.9765,145.1,772716
AXP,146.08,149.51,141.85,142.19,2720704
AYI,157.61,159.45,154.19,154.34,376330
AZO,2168.0,2195.5722,2116.51,2125.33,194177
BA,140.89,147.18,138.54,138.7,12142256
BAC,32.83,33.497,32.185,32.26,49915905
BALL,70.95,71.615,69.4957,69.95,1997076
BAX,67.0,67.1,65.18,65.25,2548931
BBBY,6.7,6.87,6.345,6.53,8493078
BBWI,31.01,31.49,28.915,29.0,4146032
BBY,71.72,72.0,68.67,68.85,2591633
BDX,250.53,251.7,244.39,244.53,873836
BEAM,43.06,43.1,39.9,40.4,1166510
BEN,25.33,25.64,24.66,24.68,3212735
BF.B,72.34,73.04,71.14,71.16,1289960
BHF,42.25,43.23,41.73,41.84,1011559
BIG,22.59,23.005,22.23,22.27,1060893
BIIB,213.75,213.88,202.33,202.51,1656726
BIO,506.06,513.4548,495.05,495.16,173156
BK,43.54,44.05,42.75,42.86,2969217
BKNG,1921.76,1954.0,1835.33,1838.42,405259
BKR,30.0,30.455,29.575,30.07,6505636
BLK,642.4,648.0,626.495,629.12,518444
BMY,79.84,80.4,78.49,78.7,8870018
BR,146.93,148.07,141.07,141.16,507141
BRK.B,280.51,282.45,273.68,273.86,4018337
BRO,59.1,59.92,57.681000000000004,57.71,1061108
BSX,38.04,38.27,37.4,37.5,9890645
BTU,24.2,24.8,23.36,23.8,4664078
BWA,36.09,36.65,35.76,36.05,2624598
BXP,93.53,94.785,91.25,91.4,1071981
C,48.4,49.11,46.94,47.21,22040946
CAG,34.16,34.43,33.85,33.94,3585913
