Date,Time,Ticker,open,high,low,close,volume
20220705,09:30:00,AAPL,137.78,137.95,137.01,137.51,1072737
20220705,09:31:00,AAPL,137.51,137.59,137.3,137.455,271141
20220705,09:32:00,AAPL,137.4425,137.4425,136.93,137.125,424228
20220705,09:33:00,AAPL,137.14,137.53,137.09,137.41,269481
20220705,09:34:00,AAPL,137.4157,137.7108,137.23,137.28,280832
20220705,09:35:00,AAPL,137.29,137.5976,137.2321,137.51,241901
20220705,09:36:00,AAPL,137.5,137.725,137.47,137.65,222422
20220705,09:37:00,AAPL,137.65,137.72,137.3,137.35,256000
20220705,09:38:00,AAPL,137.35,137.66,137.33,137.3401,237564
20220705,09:39:00,AAPL,137.32,137.51,137.13,137.13,317638
20220705,09:40:00,AAPL,137.1301,137.51,137.05,137.4,218383
20220705,09:41:00,AAPL,137.4,137.65,137.32,137.565,175257
20220705,09:42:00,AAPL,137.57,137.81,137.45,137.75,218556
20220705,09:43:00,AAPL,137.76,137.76,137.54,137.6912,196348
20220705,09:44:00,AAPL,137.69,137.73,137.55,137.58,133329
20220705,09:45:00,AAPL,137.58,138.23,137.52,138.17,380427
20220705,09:46:00,AAPL,138.175,138.495,138.11,138.17,359523
20220705,09:47:00,AAPL,138.18,138.52,138.1242,138.4601,233976
20220705,09:48:00,AAPL,138.47,138.76,138.46,138.67,296738
20220705,09:49:00,AAPL,138.67,138.84,138.54,138.61,298606
20220705,09:50:00,AAPL,138.62,138.6682,138.14,138.3,359308
20220705,09:51:00,AAPL,138.3,138.3,138.04,138.12,236720
20220705,09:52:00,AAPL,138.14,138.24,137.9,138.01,271550
20220705,09:53:00,AAPL,138.01,138.255,137.99,138.05,258947
20220705,09:54:00,AAPL,138.04,138.21,137.9,138.11,150626
20220705,09:55:00,AAPL,138.1,138.25,138.07,138.14,219430
20220705,09:56:00,AAPL,138.1314,138.18,137.88,137.9699,201151
20220705,09:57:00,AAPL,137.96,138.24,137.9,138.16,204209
20220705,09:58:00,AAPL,138.15,138.38,138.095,138.349,261687
20220705,09:59:00,AAPL,138.34,138.48,138.21,138.22,268593
20220705,10:00:00,AAPL,138.21,138.46,137.8166,138.3793,330900
20220705,10:01:00,AAPL,138.38,138.75,138.345,138.6,348380
20220705,10:02:00,AAPL,138.59,138.62,138.26,138.4,162622
20220705,10:03:00,AAPL,138.35,138.515,138.17,138.1899,119766
20220705,10:04:00,AAPL,138.165,138.17,137.9,137.99,164241
20220705,10:05:00,AAPL,137.95,138.03,137.9,137.93,102779
20220705,10:06:00,AAPL,137.9359,138.19,137.92,138.04,173634
20220705,10:07:00,AAPL,138.02,138.22,138.01,138.1701,125372
20220705,10:08:00,AAPL,138.17,138.2,138.0,138.1501,118914
20220705,10:09:00,AAPL,138.15,138.4031,138.14,138.38,164124
20220705,10:10:00,AAPL,138.37,138.5,138.26,138.5,135145
20220705,10:11:00,AAPL,138.49,138.91,138.49,138.71,410868
20220705,10:12:00,AAPL,138.73,138.83,138.66,138.8,211802
20220705,10:13:00,AAPL,138.78,139.01,138.76,139.0,227498
20220705,10:14:00,AAPL,139.0099,139.1099,138.88,138.945,180400
20220705,10:15:00,AAPL,138.94,138.99,138.85,138.885,246611
20220705,10:16:00,AAPL,138.88,138.89,138.72,138.7299,244083
20220705,10:17:00,AAPL,138.73,138.76,138.53,138.6299,174444
20220705,10:18:00,AAPL,138.63,138.79,138.5701,138.5701,120319
20220705,10:19:00,AAPL,138.58,138.68,138.35,138.565,258475
20220705,10:20:00,AAPL,138.56,138.89,138.51,138.85,218200
20220705,10:21:00,AAPL,138.83,139.0,138.68,138.945,196940
20220705,10:22:00,AAPL,138.93,138.98,138.66,138.68,144178
20220705,10:23:00,AAPL,138.69,138.82,138.63,138.8,121453
20220705,10:24:00,AAPL,138.8,138.94899999999998,138.66,138.79,116327
20220705,10:25:00,AAPL,138.79,138.8,138.49,138.56,115239
20220705,10:26:00,AAPL,138.5699,138.69,138.51,138.5599,113062
20220705,10:27:00,AAPL,138.55,138.97,138.41,138.78,203855
20220705,10:28:00,AAPL,138.77,138.92,138.62,138.62,157610
20220705,10:29:00,AAPL,138.61,138.705,138.57,138.7,96569
20220705,10:30:00,AAPL,138.715,138.73,138.54,138.64,91777
