Symbol,since
MMM,504619514
ABT,504578849
ABBV,504573274
ABMD,504226697
ACN,504571387
ATVI,504617971
ADBE,504606563
AMD,504621095
AAP,504573439
AES,504555725
AFL,504616331
A,504607432
APD,504619336
AKAM,504615229
ALK,504292997
ALB,504609638
ARE,504607999
ALGN,504618366
ALLE,504386981
LNT,504598080
ALL,504606099
GOOGL,504619898
GOOG,504621365
MO,504553030
AMZN,504621365
AMCR,504170565
AEE,504023792
AAL,504618545
AEP,504615497
AXP,504614010
AIG,504584039
AMT,504619346
AWK,504544341
AMP,504482922
ABC,504607214
AME,504620679
AMGN,504572262
APH,503946670
ADI,504597579
ANSS,504619277
ANTM,0
AON,504615837
AOS,504487035
APA,504617986
AAPL,504621365
AMAT,504612977
APTV,504353988
ADM,504611036
ANET,504560165
AJG,504615972
AIZ,504613945
T,504620648
ATO,504435011
ADSK,504608244
ADP,504611398
AZO,504613850
AVB,504506094
AVY,504507655
BKR,504568042
BLL,0
BAC,504619256
BK,504607086
BAX,504510195
BDX,504575107
BRK-B,504584159
BBY,504616480
BIO,504606235
BIIB,504607215
BLK,504621078
BA,504620051
BKNG,504615651
BWA,504117398
BXP,504580437
BSX,504595004
BMY,504600018
AVGO,504591759
BR,504229271
BF.B,504599998
CHRW,504618753
COG,503806803
CDNS,504590341
CZR,504594023
CPB,504608813
COF,504614010
CAH,504403966
KMX,504617709
CCL,504620524
CARR,504375370
CTLT,504484842
CAT,504610463
CBOE,504245318
CBRE,503755246
CDW,504222094
CE,504608841
CNC,504607510
CNP,504596789
CERN,503196532
CF,504595123
CRL,504616607
SCHW,504606935
CHTR,504616031
CVX,504617986
CMG,504600637
CB,504490505
CHD,504570989
CI,504614758
CINF,504405560
CTAS,504413764
CSCO,504618063
C,504616183
CFG,504596237
CTXS,504472328
CLX,504612834
CME,504601830
CMS,504210221
KO,504599653
CTSH,504576300
CL,504474799
CMCSA,504602593
CMA,504578807
CAG,504585773
COP,0
ED,0
STZ,0
COO,0
CPRT,0
GLW,0
CTVA,0
COST,0
CCI,0
CSX,0
CMI,0
CVS,0
DHI,0
DHR,0
DRI,0
DVA,0
DE,0
DAL,0
XRAY,0
DVN,0
DXCM,0
FANG,0
DLR,0
DFS,0
DISCA,0
DISCK,0
DISH,0
DG,0
DLTR,0
D,0
DPZ,0
DOV,0
DOW,0
DTE,0
DUK,0
DRE,0
DD,0
DXC,0
EMN,0
ETN,0
EBAY,0
ECL,0
EIX,0
EW,0
EA,0
EMR,0
ENPH,0
ETR,0
EOG,0
EFX,0
EQIX,0
EQR,0
ESS,0
EL,0
ETSY,0
EVRG,0
ES,0
RE,0
EXC,0
EXPE,0
EXPD,0
EXR,0
XOM,0
FFIV,0
FB,0
FAST,0
FRT,0
FDX,0
FIS,0
FITB,0
FE,0
FRC,0
FISV,0
FLT,0
FMC,0
F,0
FTNT,0
FTV,0
FBHS,0
FOXA,0
FOX,0
BEN,0
FCX,0
GPS,0
GRMN,0
IT,0
GNRC,0
GD,0
GE,0
GIS,0
GM,0
GPC,0
GILD,0
GL,0
GPN,0
GS,0
GWW,0
HAL,0
HBI,0
HIG,0
HAS,0
HCA,0
PEAK,0
HSIC,0
HSY,0
HES,0
HPE,0
HLT,0
HOLX,0
HD,0
HON,0
HRL,0
HST,0
HWM,0
HPQ,0
HUM,0
HBAN,0
HII,0
IEX,0
IDXX,0
INFO,0
ITW,0
ILMN,0
INCY,0
