,Unnamed: 0,Ticker,open,high,low,close,volume,Date
82028,373,MMM,76.73,77.11,75.28,75.48,4207228,20080310
82579,308,MMM,48.375,49.5625,48.375,49.25,1594600,19990913
83100,309,MMM,44.625,45.125,44.375,44.71875,1647400,19990720
83644,332,MMM,43.49,46.24,43.49,45.835,6966000,20010924
84246,380,MMM,73.91,73.94,71.71,71.79,7185141,20110930
84873,379,MMM,174.05,175.13,173.73,175.08,1868162,20161111
85416,294,MMM,47.75,47.9375,47.03125,47.9375,1681800,19980527
85989,368,MMM,153.31,153.44,145.97,146.85,5263388,20200225
86607,381,MMM,106.09,107.93,106.02799999999999,107.69,3262930,20130410
87227,365,MMM,167.92,170.26,167.28,169.79,1813755,20201113
87805,339,MMM,66.93,67.29,66.29,66.99,5309200,20030404
88372,338,MMM,63.0,63.59,62.525,63.55,2909800,20020617
88930,332,MMM,47.75,48.6,46.675,47.07,6034800,20010918
89516,364,MMM,74.0,74.66,73.69,73.69,2774300,20060227
90090,339,MMM,65.805,66.64,65.76,66.39,3534800,20030410
90658,338,MMM,62.59,63.24,62.015,62.225,3623600,20020603
91190,307,MMM,45.3125,45.53125,45.03125,45.375,1306800,19990708
91768,367,MMM,159.08,160.47,158.36,159.34,2296554,20200219
92386,381,MMM,105.82,106.22,105.3,105.82,1771217,20130404
92982,340,MMM,72.025,72.7,72.0,72.345,3226800,20030821
93574,362,MMM,77.4,77.8,76.68,76.95,2458300,20051213
94134,325,MMM,59.5,60.365,59.0,59.875,3110800,20010529
94721,368,MMM,167.41,168.76,166.56,168.76,2717458,20191023
95349,390,MMM,133.65,135.94,133.21,134.18,3644279,20141014
95982,375,MMM,55.61,55.98,55.36,55.5,1340809,20081224
96619,388,MMM,157.53,158.0,156.81,157.75,2142784,20151207
97258,383,MMM,114.79,114.84,113.34,113.42,2293686,20130821
97891,377,MMM,78.42,78.76,76.81,77.82,5455439,20091023
98516,375,MMM,55.56,57.27,55.22,57.17,3774960,20081230
99135,370,MMM,209.29,209.495,206.2,207.78,2858396,20190329
99730,354,MMM,82.5,82.79,82.1,82.17,4878000,20050119
100333,369,MMM,181.89,183.54,178.51,178.62,2249502,20181224
100937,362,MMM,78.4,78.9,77.1,77.38,3821000,20051207
101523,351,MMM,78.15,78.33,77.3,77.6,3030000,20041014
102099,343,MMM,79.1,79.99,79.02,79.71,3858100,20040322
102700,370,MMM,208.81,209.76,206.9,207.49,1754444,20190301
103316,375,MMM,243.07,246.0,242.5,244.47,1974312,20180112
103917,355,MMM,83.6,84.5,83.6,84.36,2800700,20050131
104468,317,MMM,43.71875,44.0625,43.25,43.28125,2555800,20000706
105010,326,MMM,59.15,59.875,58.905,59.075,2843200,20010515
105612,382,MMM,118.73,119.2,117.7,118.31,2460101,20130809
106259,390,MMM,149.83,151.13,149.56,151.06,2368229,20141028
106892,375,MMM,58.9,59.26,56.28,56.71,5574872,20081218
107523,382,MMM,81.87,82.26,81.36,82.26,3206684,20100712
108072,301,MMM,35.875,37.125,35.8125,36.6875,2505000,19980916
108582,301,MMM,34.28125,35.5,33.84375,34.5625,4308400,19980902
109174,384,MMM,78.45,79.38,77.5,78.14,4012653,20100706
109791,370,MMM,208.4,208.66,206.79,208.08,4394759,20190315
110387,355,MMM,82.15,83.02,82.01,82.82,3480400,20050125
110990,369,MMM,193.39,196.92,193.15,194.56,2636317,20181218
111551,318,MMM,45.125,45.28125,44.53125,45.03125,3123000,20000712
112120,351,MMM,77.03,77.81,76.9,77.15,2252700,20041028
112678,325,MMM,59.505,59.505,58.19,58.755,3515800,20010501
113235,338,MMM,61.86,62.175,61.25,61.32,3056400,20020429
113781,321,MMM,42.3125,43.90625,42.25,43.21875,5820200,20000921
