,Date,Open,Close,High,Low,Volume,Symbol,tt1qrt_Date,tt1qrt_Open,tt1qrt_Close,tt1qrt_High,tt1qrt_Low,tt1qrt_Volume,tt1mon_Date,tt1mon_Open,tt1mon_Close,tt1mon_High,tt1mon_Low,tt1mon_Volume,tt1w_Date,tt1w_Open,tt1w_Close,tt1w_High,tt1w_Low,tt1w_Volume,tt2d_Date,tt2d_Open,tt2d_Close,tt2d_High,tt2d_Low,tt2d_Volume,q_min_low,q_max_high,q_rel_diff,q_diff,q_pre_avgrel,q_avgrel,q_pre_avgdiff,q_avgdiff,q_SMI_before,q_SMI,q_AvgSMI,m_min_low,m_max_high,m_rel_diff,m_diff,m_pre_avgrel,m_avgrel,m_pre_avgdiff,m_avgdiff,m_SMI_before,m_SMI,m_AvgSMI,w_min_low,w_max_high,w_rel_diff,w_diff,w_pre_avgrel,w_avgrel,w_pre_avgdiff,w_avgdiff,w_SMI_before,w_SMI,w_AvgSMI,2d_min_low,2d_max_high,2d_rel_diff,2d_diff,2d_pre_avgrel,2d_avgrel,2d_pre_avgdiff,2d_avgdiff,2d_SMI_before,2d_SMI,2d_AvgSMI
5791,2021-01-06,172.72,174.19,175.57,172.04,3346410,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210104.0,175.0,166.62,176.2,164.61,19309488.0,20210105.0,172.01,174.19,175.57,170.65,5641707.0,156.13,196.72,-2.2350000000000136,40.59,-2.52070905490967,-1.9585249700423568,40.22833333333334,39.50500000000001,-9.915327022110398,90.0846729778896,96.4071458299477,163.38,187.27,-1.134999999999991,23.890000000000015,-1.667005351203719,-1.5974138588919202,23.735740740745207,23.427222222300845,-13.637245113689234,86.36275488631077,90.54327123627709,164.61,176.4,3.6850000000000023,11.789999999999992,2.790857629631554,2.1358746700835476,11.478732295997972,10.858180453229556,39.3412999403279,139.3412999403279,130.24245450026243,170.5504,176.2,0.8147999999999911,5.649599999999992,0.05925877740024399,-0.3302796917056009,5.619826133343314,5.54052711413401,-11.922320201738565,88.07767979826144,81.46497032458379
5792,2021-01-07,171.56,169.72,173.46,166.16,5863373,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210104.0,175.0,166.62,176.2,164.61,19309488.0,20210107.0,171.56,166.62,173.46,164.61,10671503.0,156.13,196.72,-6.7050000000000125,40.59,-5.310236351636565,-4.192999224438496,40.46944444444445,40.14796296296297,-20.887730858507535,79.11226914149246,84.87722803764422,163.38,187.27,-5.60499999999999,23.890000000000015,-4.2923351170679,-3.39402803100924,23.83858024691508,23.701460905377,-28.639821355815737,71.36017864418426,77.75454284154853,164.61,176.4,-0.7849999999999966,11.789999999999992,0.40695254321052043,0.983259918834863,11.686244098665984,11.410222883520508,17.234718880995043,117.23471888099505,121.57063075408416,164.61,175.57,-0.37000000000000455,10.95999999999998,-0.22691374086658836,-0.26136905781292585,9.179942044447758,7.966803734343175,-6.56145341415203,93.43854658584797,89.4473544987599
5793,2021-01-08,169.17,166.62,169.54,164.61,4808130,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210104.0,175.0,166.62,176.2,164.61,19309488.0,20210107.0,171.56,166.62,173.46,164.61,10671503.0,156.13,196.72,-9.805000000000007,40.59,-8.306745450545526,-6.935496708509849,40.54981481481482,40.41586419753087,-34.32066514580955,65.67933485419044,72.07863258200837,163.38,187.27,-8.704999999999984,23.890000000000015,-7.234111705689289,-5.954083814129272,23.87286008230504,23.815727023329025,-50.00127695700297,49.99872304299703,59.25066297584753,164.61,176.4,-3.884999999999991,11.789999999999992,-2.4543491522631533,-1.3084794618971478,11.755414699555322,11.64035076087705,-22.481787512708244,77.51821248729175,92.20235190955589,164.61,175.57,-3.469999999999999,10.95999999999998,-2.3889712469555286,-1.6797705172413278,10.36664734814924,9.566699476880551,-35.11703323180079,64.88296676819921,73.07109601171945
5794,2021-01-11,166.1,165.2,167.14,165.0,2737062,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210111.0,166.1,165.55,167.74,163.38,14230574.0,20210111.0,166.1,166.51,167.175,164.08,5686444.0,156.13,196.72,-11.225000000000023,40.59,-10.25224848351519,-9.14666455851341,40.576604938271615,40.52302469135803,-45.14304955357409,54.85695044642591,60.59751115828673,163.38,187.27,-10.125,23.890000000000015,-9.161370568563097,-8.092274983751821,23.88428669410169,23.8614334705108,-67.82723254034738,32.17276745965262,41.19873263171759,163.38,176.2,-4.590000000000003,12.819999999999993,-3.87811638408772,-3.021570743357529,12.465138233185103,12.190209075749085,-49.57373125566108,50.42626874433892,64.35162979941124,164.08,173.46,-3.5700000000000216,9.379999999999995,-3.1763237489851903,-2.6774726717372364,9.708882449383077,9.66148812521557,-55.425678467673855,44.574321532326145,54.073246358790584
5795,2021-01-12,165.9,166.51,167.175,164.08,2949382,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210111.0,166.1,165.55,167.74,163.38,14230574.0,20210111.0,166.1,166.51,167.175,164.08,5686444.0,156.13,196.72,-9.91500000000002,40.59,-10.027416161171743,-9.733832293618965,40.585534979423876,40.56469821673526,-47.99164160724954,52.00835839275046,54.87140931459588,163.38,187.27,-8.814999999999998,23.890000000000015,-8.930456856187698,-8.651062898709073,23.888095564700574,23.87920819997065,-72.4568656235403,27.543134376459705,32.095000461545666,163.38,176.2,-3.280000000000001,12.819999999999993,-3.479372128029241,-3.3267716664720037,12.70171274439503,12.531211521513047,-53.095770680444495,46.904229319555505,52.72002947950742,164.08,173.46,-2.2600000000000193,9.379999999999995,-2.565441249661743,-2.602785057020241,9.48962748312769,9.54691436382365,-54.52620517647119,45.47379482352881,48.340278668616065
5796,2021-01-13,167.27,166.28,167.74,166.05,2098001,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210111.0,166.1,165.55,167.74,163.38,14230574.0,20210113.0,167.27,166.41,167.74,165.23,4993435.0,156.13,196.72,-10.14500000000001,40.59,-10.105805387057256,-9.981814355911158,40.58851165980796,40.580573845450395,-49.195037970268864,50.804962029731136,52.160444458019384,163.38,187.27,-9.044999999999987,23.890000000000015,-9.006818952062558,-8.88823360094473,23.889365188233533,23.88597952547924,-74.42218219657794,25.577817803422064,27.750212022796596,163.38,176.2,-3.509999999999991,12.819999999999993,-3.499790709343074,-3.4421176950527173,12.78057091479834,12.697451117036575,-54.217459288885436,45.782540711114564,48.09503696724552,164.08,167.74,0.3699999999999761,3.6599999999999966,-0.6084804165539305,-1.2732486300427008,5.603209161042561,6.917777561969591,-36.81091560510335,63.18908439489665,58.23948248613645
5797,2021-01-14,167.27,166.41,167.36,165.23,2895434,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210111.0,166.1,165.55,167.74,163.38,14230574.0,20210113.0,167.27,166.41,167.74,165.23,4993435.0,156.13,196.72,-10.015000000000015,40.59,-10.045268462352428,-10.024117093538672,40.58950388660266,40.58652720621857,-49.396278930722616,50.603721069277384,51.12262886552472,163.38,187.27,-8.914999999999992,23.890000000000015,-8.94560631735418,-8.926482078551029,23.889788396077854,23.888518772544984,-74.73449621171333,25.265503788286665,26.09373986645664,163.38,176.2,-3.3799999999999955,12.819999999999993,-3.4199302364476885,-3.427326055982698,12.80685697159944,12.770388353411818,-53.67614454836891,46.32385545163109,46.91424929016924,164.08,167.74,0.4999999999999716,3.6599999999999966,0.13050652781533753,-0.337411858137342,4.3077363870141845,5.17775011199932,-13.033145703783486,86.96685429621651,77.39106369285649
5798,2021-01-15,165.63,165.55,166.26,163.38,3550695,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210111.0,166.1,165.55,167.74,163.38,14230574.0,20210115.0,165.63,169.12,169.55,163.38,7453866.0,156.13,196.72,-10.875,40.59,-10.598422820784144,-10.406987578368987,40.58983462886756,40.588732154651225,-51.28018061129021,48.71981938870979,49.520755880981426,163.38,187.27,-9.774999999999977,23.890000000000015,-9.498535439118045,-9.307850985595707,23.889929465359295,23.889459234421192,-77.92433386005209,22.075666139947913,23.415024048784154,163.38,176.2,-4.239999999999981,12.819999999999993,-3.9666434121492165,-3.7868709600937103,12.815618990533142,12.8005421114927,-59.16735286849683,40.83264713150317,42.859847851058525,163.38,169.55,-0.914999999999992,6.170000000000016,-0.5664978240615488,-0.49013583542014655,5.549245462338073,5.425413678891822,-18.0681461149064,81.9318538850936,80.4182571543479
5799,2021-01-19,167.26,169.12,169.55,166.8,3903171,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210119.0,167.26,169.04,171.489,166.8,11613489.0,20210115.0,165.63,169.12,169.55,163.38,7453866.0,156.13,196.72,-7.305000000000007,40.59,-8.402807606928054,-9.070867597408366,40.58994487628919,40.589540635743205,-44.69559130423145,55.30440869576855,53.37652442417284,163.38,187.27,-6.204999999999984,23.890000000000015,-7.302845146372672,-7.971180426113683,23.889976488453108,23.88980407044247,-66.73290749986505,33.26709250013495,29.98306968301802,163.38,171.489,1.6854999999999905,8.109000000000009,-0.19854780404974548,-1.3946555227310673,9.677872996844387,10.718762701727158,-26.022696117833465,73.97730388216654,63.60481853846386,163.38,169.55,2.655000000000001,6.170000000000016,1.5811673919794844,0.890732982846274,5.963081820779369,5.783859106816854,30.80064594922295,130.80064594922294,114.00651635093125
5800,2021-01-20,169.04,170.22,170.58,168.43,2672491,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210119.0,167.26,169.04,171.489,166.8,11613489.0,20210120.0,169.04,170.67,171.489,168.43,5360975.0,156.13,196.72,-6.2050000000000125,40.59,-6.937602535642693,-7.648690889564584,40.58998162542973,40.58983462886756,-37.68771644181483,62.31228355818517,59.33369718018106,163.38,187.27,-5.10499999999999,23.890000000000015,-5.837615048790884,-6.548803507898484,23.889992162817713,23.889929465359298,-54.824804044686125,45.175195955313875,40.11115386454859,163.38,171.489,2.7854999999999848,8.109000000000009,1.7908173986500746,0.7289930915230273,8.631957665614802,9.32755934431892,15.630950490109305,115.6309504901093,98.28890650622748,163.38,171.489,2.7854999999999848,8.109000000000009,2.384055797326485,1.8862815258330812,7.393693940259796,6.857082329112149,55.01703013903628,155.01703013903628,141.3468588763346
5801,2021-01-21,170.22,170.67,171.489,169.39,2688484,MMM,20210104.0,175.0,192.68,196.72,163.38,176338934.0,20210104.0,175.0,175.66,187.27,163.38,70123401.0,20210119.0,167.26,169.04,171.489,166.8,11613489.0,20210120.0,169.04,170.67,171.489,168.43,5360975.0,156.13,196.72,-5.755000000000024,40.59,-6.1492008452142475,-6.649030859997693,40.58999387514325,40.589940793051355,-32.76196382693886,67.23803617306115,64.60325650876779,163.38,187.27,-4.655000000000001,23.890000000000015,-5.049205016263629,-5.549071180141914,23.889997387605916,23.889974746857042,-46.455228512721206,53.544771487278794,49.066898946368724,163.38,171.489,3.2354999999999734,8.109000000000009,2.7539391328833407,2.0789571190965694,8.283319221871608,8.63139926268738,48.17196043945458,148.17196043945458,131.54427579504554,163.38,171.489,3.2354999999999734,8.109000000000009,2.9516852657754775,2.596550685794679,7.870564646753271,7.532737207539563,68.94042933545525,168.94042933545524,159.74257251574835
