,Date,Open,Close,High,Low,Volume,Symbol,tt1qrt_Date,tt1qrt_Open,tt1qrt_Close,tt1qrt_High,tt1qrt_Low,tt1qrt_Volume,tt1mon_Date,tt1mon_Open,tt1mon_Close,tt1mon_High,tt1mon_Low,tt1mon_Volume,tt1w_Date,tt1w_Open,tt1w_Close,tt1w_High,tt1w_Low,tt1w_Volume,tt2d_Date,tt2d_Open,tt2d_Close,tt2d_High,tt2d_Low,tt2d_Volume
0,19980102,41.09375,41.75,41.8125,40.875,2573000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980102.0,41.09375,41.75,41.8125,40.875,2573000.0,19980102.0,41.09375,41.6875,42.625,40.875,5078600.0
1,19980105,41.5,41.6875,42.625,41.34375,2505600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980105.0,41.5,41.3125,42.875,41.0,18555000.0,19980102.0,41.09375,41.6875,42.625,40.875,5078600.0
2,19980106,41.625,41.8125,42.875,41.5,3620200,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980105.0,41.5,41.3125,42.875,41.0,18555000.0,19980106.0,41.625,42.15625,42.875,41.375,6115000.0
3,19980107,41.90625,42.15625,42.3125,41.375,2494800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980105.0,41.5,41.3125,42.875,41.0,18555000.0,19980106.0,41.625,42.15625,42.875,41.375,6115000.0
4,19980108,42.0,41.65625,42.0,41.125,1951400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980105.0,41.5,41.3125,42.875,41.0,18555000.0,19980108.0,42.0,41.3125,42.0,41.0,9934400.0
5,19980109,41.6875,41.3125,41.8125,41.0,7983000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980105.0,41.5,41.3125,42.875,41.0,18555000.0,19980108.0,42.0,41.3125,42.0,41.0,9934400.0
6,19980112,40.5,41.40625,42.03125,40.5,2537400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980112.0,40.5,41.625,42.125,40.5,9829200.0,19980112.0,40.5,42.0625,42.0625,40.5,4177400.0
7,19980113,41.5,42.0625,42.0625,41.34375,1640000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980112.0,40.5,41.625,42.125,40.5,9829200.0,19980112.0,40.5,42.0625,42.0625,40.5,4177400.0
8,19980114,41.875,42.03125,42.125,41.46875,1814800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980112.0,40.5,41.625,42.125,40.5,9829200.0,19980114.0,41.875,41.25,42.125,41.1875,3124800.0
9,19980115,41.90625,41.25,41.9375,41.1875,1310000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980112.0,40.5,41.625,42.125,40.5,9829200.0,19980114.0,41.875,41.25,42.125,41.1875,3124800.0
10,19980116,41.375,41.625,41.96875,41.25,2527000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980112.0,40.5,41.625,42.125,40.5,9829200.0,19980116.0,41.375,41.625,41.96875,41.25,4608600.0
11,19980120,41.625,41.625,41.75,41.46875,2081600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980120.0,41.625,40.78125,41.75,40.03125,8235000.0,19980116.0,41.375,41.625,41.96875,41.25,4608600.0
12,19980121,41.5,41.1875,41.5625,40.78125,2229800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980120.0,41.625,40.78125,41.75,40.03125,8235000.0,19980121.0,41.5,40.375,41.5625,40.03125,4143600.0
13,19980122,40.875,40.375,40.96875,40.03125,1913800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980120.0,41.625,40.78125,41.75,40.03125,8235000.0,19980121.0,41.5,40.375,41.5625,40.03125,4143600.0
14,19980123,40.375,40.78125,41.1875,40.34375,2009800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980120.0,41.625,40.78125,41.75,40.03125,8235000.0,19980123.0,40.375,41.0,41.1875,40.28125,3673600.0
15,19980126,41.0,41.0,41.09375,40.28125,1663800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980126.0,41.0,41.75,42.96875,40.28125,13163200.0,19980123.0,40.375,41.0,41.1875,40.28125,3673600.0
16,19980127,41.0,40.28125,41.03125,40.28125,2349400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980126.0,41.0,41.75,42.96875,40.28125,13163200.0,19980127.0,41.0,42.25,42.25,40.28125,5788000.0
17,19980128,40.375,42.25,42.25,40.375,3438600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980126.0,41.0,41.75,42.96875,40.28125,13163200.0,19980127.0,41.0,42.25,42.25,40.28125,5788000.0
18,19980129,42.25,42.65625,42.875,41.9375,2621600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980126.0,41.0,41.75,42.96875,40.28125,13163200.0,19980129.0,42.25,41.75,42.96875,41.65625,5711400.0
19,19980130,42.25,41.75,42.96875,41.65625,3089800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980102.0,41.09375,41.75,42.96875,40.03125,52355400.0,19980126.0,41.0,41.75,42.96875,40.28125,13163200.0,19980129.0,42.25,41.75,42.96875,41.65625,5711400.0
20,19980202,42.1875,43.4375,43.71875,42.1875,2847000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980202.0,42.1875,43.78125,44.375,42.1875,9942000.0,19980202.0,42.1875,44.1875,44.375,42.1875,5405400.0
21,19980203,43.3125,44.1875,44.375,43.25,2558400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980202.0,42.1875,43.78125,44.375,42.1875,9942000.0,19980202.0,42.1875,44.1875,44.375,42.1875,5405400.0
22,19980204,44.1875,43.90625,44.1875,43.4375,1492000,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980202.0,42.1875,43.78125,44.375,42.1875,9942000.0,19980204.0,44.1875,43.75,44.1875,43.3125,3032400.0
23,19980205,44.03125,43.75,44.125,43.3125,1540400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980202.0,42.1875,43.78125,44.375,42.1875,9942000.0,19980204.0,44.1875,43.75,44.1875,43.3125,3032400.0
24,19980206,44.0,43.78125,44.375,43.5625,1504200,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980202.0,42.1875,43.78125,44.375,42.1875,9942000.0,19980206.0,44.0,43.5625,44.375,43.5,2780600.0
25,19980209,43.84375,43.5625,43.84375,43.5,1276400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980209.0,43.84375,44.0,44.6875,42.96875,9159600.0,19980206.0,44.0,43.5625,44.375,43.5,2780600.0
26,19980210,43.625,43.0,43.90625,42.96875,2513600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980209.0,43.84375,44.0,44.6875,42.96875,9159600.0,19980210.0,43.625,43.9375,44.125,42.96875,3887000.0
27,19980211,43.15625,43.9375,44.125,43.15625,1373400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980209.0,43.84375,44.0,44.6875,42.96875,9159600.0,19980210.0,43.625,43.9375,44.125,42.96875,3887000.0
28,19980212,44.125,44.34375,44.6875,43.6875,2075600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980209.0,43.84375,44.0,44.6875,42.96875,9159600.0,19980212.0,44.125,44.0,44.6875,43.40625,3996200.0
29,19980213,43.75,44.0,44.0625,43.40625,1920600,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980209.0,43.84375,44.0,44.6875,42.96875,9159600.0,19980212.0,44.125,44.0,44.6875,43.40625,3996200.0
30,19980217,44.125,44.0625,44.59375,43.8125,1409800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980217.0,44.125,43.96875,44.59375,43.3125,5901200.0,19980217.0,44.125,43.9375,44.59375,43.59375,3015000.0
31,19980218,43.6875,43.9375,44.21875,43.59375,1605200,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980217.0,44.125,43.96875,44.59375,43.3125,5901200.0,19980217.0,44.125,43.9375,44.59375,43.59375,3015000.0
32,19980219,43.625,43.75,43.9375,43.5625,1312800,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980217.0,44.125,43.96875,44.59375,43.3125,5901200.0,19980219.0,43.625,43.96875,44.0625,43.3125,2886200.0
33,19980220,44.0625,43.96875,44.0625,43.3125,1573400,MMM,19980102.0,41.09375,45.5,48.0625,40.03125,133013600.0,19980202.0,42.1875,42.65625,44.6875,42.15625,34888400.0,19980217.0,44.125,43.96875,44.59375,43.3125,5901200.0,19980219.0,43.625,43.96875,44.0625,43.3125,2886200.0
