date,timestamp,now,now_sentiment,previous_close,previous_close_sentiment,week_ago,week_ago_sentiment,month_ago,month_ago_sentiment,year_ago,year_ago_sentiment
20230224,00:00:36,greed,63,greed,62,greed,67,greed,64,extreme fear,18
20230224,00:05:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:10:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:15:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:20:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:25:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:30:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:35:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:40:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:45:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:50:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,00:55:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:00:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:05:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:10:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:15:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:20:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:25:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:30:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:35:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:40:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:45:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:50:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,01:55:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:00:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:05:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:10:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:15:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:20:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:25:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:30:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:35:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:40:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:45:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:50:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,02:55:37,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:00:36,greed,63,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:05:36,greed,62,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:10:37,greed,62,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:15:36,greed,62,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:20:36,greed,62,greed,62,greed,68,greed,60,extreme fear,21
20230224,03:25:36,greed,62,greed,62,greed,68,greed,60,extreme fear,21
