date,added,removed
19-Nov-15,ILMN,SIAL
18-Nov-15,SYF,GNW
02-Nov-15,HPE,HCBK
07-Oct-15,VRSK,JOY
18-Sep-15,CMCSK,
18-Sep-15,FOX,
18-Sep-15,NWS,
02-Sep-15,UAL,HSP
28-Aug-15,ATVI,PLL
29-Jul-15,SIG,DTV
20-Jul-15,PYPL,NE
08-Jul-15,AAP,FDO
06-Jul-15,KHC,KRFT
02-Jul-15,CPGX,ATI
01-Jul-15,JBHT,TEG
01-Jul-15,BXLT,QEP
11-Jun-15,QRVO,LO
07-Apr-15,O,WIN
23-Mar-15,AAL,AGN
23-Mar-15,EQIX,DNR
23-Mar-15,SLG,NBR
23-Mar-15,HBI,AVP
18-Mar-15,HSIC,CFN
12-Mar-15,SWKS,PETM
27-Jan-15,HCA,SWY
27-Jan-15,ENDP,COV
05-Dec-14,RCL,BMS
05-Nov-14,LVLT,JBL
20-Sep-14,URI,BTU
20-Sep-14,UHS,GHC
18-Aug-14,MNK,RDC
06-Aug-14,DISCK,
02-Jul-14,MLM,X
01-Jul-14,AMG,FRX
20-Jun-14,XEC,IGT
08-May-14,AVGO,LSI
01-May-14,UAA,BEAM
01-May-14,NAVI,SLM
03-Apr-14,GOOGL,
02-Apr-14,ESS,CLF
21-Mar-14,GMCR,WPX
24-Jan-14,TSCO,LIFE
23-Dec-13,ADS,ANF
23-Dec-13,MHK,JDSU
23-Dec-13,FB,TER
10-Dec-13,GGP,MOLX
02-Dec-13,ALLE,JCP
13-Nov-13,KORS,NYX
29-Oct-13,RIG,DELL
20-Sep-13,VRTX,AMD
20-Sep-13,AME,SAI
10-Sep-13,DAL,BMC
08-Jul-13,NLSN,S
28-Jun-13,FOXA,APOL
21-Jun-13,ZTS,FHN
06-Jun-13,GM,HNZ
23-May-13,KSU,DF
08-May-13,MAC,CVH
30-Apr-13,REGN,PCS
15-Feb-13,PVH,BIG
31-Dec-12,ABBV,FII
21-Dec-12,DLPH,TIE
11-Dec-12,GRMN,RRD
03-Dec-12,DG,CBE
10-Oct-12,PETM,SUN
02-Oct-12,KRFT,ANR
01-Oct-12,ADT,LXK
01-Oct-12,PNR,DV
05-Sep-12,LYB,SHLD
31-Jul-12,ESV,GR
02-Jul-12,STX,PGN
29-Jun-12,MNST,SLE
26-Jun-12,,KFT
05-Jun-12,LRCX,NVLS
21-May-12,ALXN,MMI
17-May-12,KMI,EP
23-Apr-12,PSX,SVU
03-Apr-12,FOSL,MHS
13-Mar-12,CCI,CEG
31-Dec-11,WPX,CPWR
20-Dec-11,TRIP,TLAB
16-Dec-11,BWA,AKS
16-Dec-11,PRGO,MWW
16-Dec-11,DLTR,WFR
12-Dec-11,GAS,GAS
18-Nov-11,CBE,JNS
31-Oct-11,XYL,ITT
14-Oct-11,TEL,CEPH
23-Sep-11,MOS,NSM
05-Jul-11,ACN,MI
30-Jun-11,MPC,RSH
01-Jun-11,ANR,MEE
27-Apr-11,CMG,NOVL
01-Apr-11,BLK,GENZ
31-Mar-11,EW,Q
28-Feb-11,COV,MFE
25-Feb-11,JOY,AYE
17-Dec-10,CVC,KG
17-Dec-10,FFIV,EK
17-Dec-10,NFLX,ODP
17-Dec-10,NFX,NYT
17-Nov-10,IR,PTV
26-Aug-10,TYC,SII
14-Jul-10,CB,MIL
30-Jun-10,QEP,STR
28-Jun-10,KMX,XTO
29-Apr-10,CERN,BJS
26-Feb-10,HP,RX
18-Dec-09,V,CIEN
18-Dec-09,MJN,DYN
18-Dec-09,CLF,KBH
18-Dec-09,SAI,CVG
18-Dec-09,ROST,MBI
03-Nov-09,PCLN,SGP
28-Sep-09,ARG,CBE
03-Mar-09,HRL,ACAS
03-Mar-09,VTR,JNY
31-Dec-08,OI,WB
16-Sep-08,HRS,LEH
12-Sep-08,CRM,FRE
12-Sep-08,FAST,FNM
10-Jun-08,LO,ABK
20-Dec-07,RRC,TRB
13-Dec-07,GME,DJ
26-Oct-07,JEC,AV
02-Oct-07,EXPE,SLR
01-Oct-07,TDC,NCR
27-Sep-07,TSO,MXIM
26-Sep-07,ICE,FDC
24-Aug-07,LUK,KSE
30-Mar-07,KFT,TSG
10-Jan-07,AVB,SBL
02-Jun-06,JNPR,ABS
18-Nov-05,AMZN,T
01-Jul-05,STZ,GLK
25-Sep-03,ESRX,QTRN
05-Dec-00,INTU,BS
05-Dec-00,SBL,OI
05-Dec-00,AYE,GRA
05-Dec-00,ABK,CCK
27-Jul-00,JDSU,RAD
07-Dec-99,YHOO,LDW
