date,added,removed
04-Apr-22,CPT,PBCT
02-Mar-22,MOH,INFO
15-Feb-21,NDSN,XLNX
03-Feb-21,,GPS
02-Feb-21,CEG,
20-Dec-21,SBNY,LEG
20-Dec-21,SEDG,HBI
20-Dec-21,FDS,WU
14-Dec-21,EPAM,KSU
20-Sep-21,MTCH,PRGO
20-Sep-21,CDAY,UNM
20-Sep-21,BRO,NOV
30-Aug-21,TECH,MXIM
21-Jul-21,MRNA,ALXN
04-Jun-21,,HFC
03-Jun-21,OGN,
14-May-21,CRL,FLIR
20-Apr-21,PTC,VAR
22-Mar-21,NXPI,FLS
22-Mar-21,PENN,SLG
22-Mar-21,GNRC,XRX
22-Mar-21,CZR,VNT
12-Feb-21,MPWR,FTI
21-Jan-21,TRMB,CXO
07-Jan-21,ENPH,TIF
21-Dec-20,TSLA,AIV
12-Oct-20,,NBL
09-Oct-20,VNT,
07-Oct-20,POOL,ETFC
21-Sep-20,ETSY,HRB
21-Sep-20,TER,COTY
21-Sep-20,CTLT,KSS
22-Jun-20,BIO,ADS
22-Jun-20,TDY,HOG
22-Jun-20,TYL,JWN
22-May-20,WST,HP
12-May-20,DPZ,CPRI
12-May-20,DXCM,AGN
06-Apr-20,,M
06-Apr-20,,RTN
03-Apr-20,OTIS,
03-Apr-20,CARR,
01-Apr-20,HWM,ARNC
02-Mar-20,IR,XEC
02-Mar-20,,IR
28-Jan-20,PAYC,WCG
23-Dec-19,LYV,AMG
23-Dec-19,ZBRA,TRIP
23-Dec-19,STE,MAC
10-Dec-19,J,JEC
09-Dec-19,ODFL,STI
05-Dec-19,WRB,VIAB
21-Nov-19,NOW,CELG
03-Oct-19,LVS,NKTR
26-Sep-19,NVR,JEF
23-Sep-19,CDW,TSS
09-Aug-19,LDOS,APC
09-Aug-19,IEX,FL
15-Jul-19,TMUS,RHT
01-Jul-19,MKTX,LLL
01-Jul-19,LHX,HRS
07-Jun-19,AMCR,MAT
03-Jun-19,DD,DWDP
03-Jun-19,CTVA,FLR
02-Apr-19,DOW,BHF
27-Feb-19,WAB,GT
15-Feb-19,ATO,NFX
18-Jan-19,TFX,PCG
02-Jan-19,FRC,SCG
24-Dec-18,CE,ESRX
03-Dec-18,LW,COL
03-Dec-18,MXIM,AET
03-Dec-18,FANG,SRCL
13-Nov-18,JKHY,EQT
06-Nov-18,KEYS,CA
11-Oct-18,FTNT,EVHC
01-Oct-18,ROL,ANDV
14-Sep-18,WCG,XL
28-Aug-18,ANET,GGP
02-Jul-18,CPRT,DPS
20-Jun-18,FLT,TWX
18-Jun-18,BR,RRC
18-Jun-18,HFC,AYI
07-Jun-18,TWTR,MON
05-Jun-18,EVRG,NAVI
31-May-18,ABMD,WYN
24-May-18,JEF,LUK
04-Apr-18,MSCI,CSRA
19-Mar-18,TTWO,SIG
19-Mar-18,SIVB,PDCO
19-Mar-18,NKTR,CHK
07-Mar-18,IPGP,SNI
27-Feb-18,BKNG,PCLN
03-Jan-18,HII,BCR
02-Jan-18,CPRI,KORS
05-Dec-17,APTV,DLPH
15-Nov-17,IQV,Q
13-Oct-17,NCLH,LVLT
18-Sep-17,CDNS,SPLS
01-Sep-17,DWDP,DOW
01-Sep-17,SBAC,DD
29-Aug-17,Q,WFM
08-Aug-17,BHF,AN
01-Aug-17,ANDV,TSO
26-Jul-17,DRE,RIG
26-Jul-17,AOS,BBBY
26-Jul-17,PKG,MUR
26-Jul-17,RMD,MNK
26-Jul-17,MGM,RAI
19-Jun-17,HLT,YHOO
19-Jun-17,ALGN,TDC
19-Jun-17,ANSS,R
19-Jun-17,RE,MJN
02-Jun-17,INFO,TGNA
05-Apr-17,IT,DNB
04-Apr-17,DXC,SWN
20-Mar-17,AMD,URBN
20-Mar-17,RJF,FTR
20-Mar-17,ARE,FSLR
16-Mar-17,SNPS,HAR
13-Mar-17,DISH,LLTC
02-Mar-17,REG,ENDP
01-Mar-17,CBOE,PBI
28-Feb-17,INCY,SE
05-Jan-17,IDXX,STJ
02-Dec-16,MAA,OI
02-Dec-16,EVHC,LM
01-Nov-16,ARNC,AA
30-Sep-16,COTY,DO
22-Sep-16,COO,HOT
08-Sep-16,CHTR,EMC
06-Sep-16,MTD,TYC
05-Jul-16,FTV,CPGX
01-Jul-16,LNT,GAS
01-Jul-16,ALB,TE
22-Jun-16,FBHS,CVC
03-Jun-16,TDG,BXLT
31-May-16,AJG,CCE
23-May-16,LKQ,ARG
18-May-16,DLR,TWC
13-May-16,ALK,SNDK
03-May-16,AYI,ADT
25-Apr-16,GPN,GME
18-Apr-16,ULTA,THC
08-Apr-16,UA,
04-Apr-16,FL,CAM
30-Mar-16,HOLX,POM
30-Mar-16,CNC,ESV
07-Mar-16,UDR,GMCR
04-Mar-16,AWK,CNX
22-Feb-16,CXO,PCL
01-Feb-16,CFG,PCP
01-Feb-16,FRT,BRCM
19-Jan-16,EXR,ACE
05-Jan-16,WTW,FOSL
29-Dec-15,CHD,ALTR
15-Dec-15,,CMCSK
01-Dec-15,CSRA,CSC
