open,high,low,close,volume,Date,Time
2153.19,2155.2,2145.17,2150.59,21014,20220705,13:30:00
2150.09,2150.09,2135.44,2137.19,5067,20220705,13:31:00
2135.98,2135.98,2128.01,2128.01,2612,20220705,13:32:00
2127.54,2132.25,2126.2277,2131.0,4350,20220705,13:33:00
2131.28,2134.0,2128.14,2128.14,2952,20220705,13:34:00
2125.0701,2134.684,2125.0701,2133.12,1890,20220705,13:35:00
2130.9,2132.71,2128.95,2128.95,1565,20220705,13:36:00
2127.79,2131.44,2124.9901,2129.8,1400,20220705,13:37:00
2129.8967,2136.98,2129.8967,2135.81,2302,20220705,13:38:00
2135.59,2136.73,2131.4701,2132.71,1660,20220705,13:39:00
2132.76,2138.06,2132.76,2136.255,2285,20220705,13:40:00
2135.43,2137.4,2134.86,2137.4,2155,20220705,13:41:00
2138.6,2138.99,2132.195,2136.68,1938,20220705,13:42:00
2136.33,2137.536,2132.95,2137.45,2668,20220705,13:43:00
2136.43,2137.18,2132.49,2135.355,1410,20220705,13:44:00
2133.62,2142.44,2133.62,2137.865,2360,20220705,13:45:00
2145.15,2146.79,2141.2887,2142.17,3809,20220705,13:46:00
2142.0,2147.0049,2142.0,2147.0049,1960,20220705,13:47:00
2148.0,2151.4,2148.0,2149.35,1354,20220705,13:48:00
2149.46,2150.41,2149.46,2149.6,996,20220705,13:49:00
2148.23,2150.19,2144.45,2146.53,1720,20220705,13:50:00
2147.64,2147.64,2145.285,2145.57,741,20220705,13:51:00
2146.9,2148.71,2143.5,2146.08,3295,20220705,13:52:00
2145.12,2146.19,2144.71,2146.19,960,20220705,13:53:00
2145.89,2147.875,2145.77,2147.875,1060,20220705,13:54:00
2146.25,2146.25,2145.42,2145.43,600,20220705,13:55:00
2146.0251,2146.0251,2143.2301,2145.7899,1382,20220705,13:56:00
2143.44,2147.51,2143.44,2144.63,2942,20220705,13:57:00
2145.59,2149.04,2145.59,2146.32,3172,20220705,13:58:00
2150.0,2152.97,2147.45,2150.0712,1575,20220705,13:59:00
2147.5,2151.3963,2144.01,2151.3963,1598,20220705,14:00:00
2150.21,2151.57,2150.06,2151.0,1778,20220705,14:01:00
2149.0,2149.0,2146.875,2148.4,1160,20220705,14:02:00
2149.9499,2150.0,2145.915,2145.915,2899,20220705,14:03:00
2144.0,2144.0,2138.0,2138.0,4663,20220705,14:04:00
2143.4999,2143.4999,2139.99,2142.39,1460,20220705,14:05:00
2143.5,2146.04,2143.5,2145.49,2094,20220705,14:06:00
2146.4301,2148.3266,2146.1601,2148.3266,1080,20220705,14:07:00
2148.37,2148.89,2146.91,2148.35,2540,20220705,14:08:00
2148.55,2150.0,2148.25,2150.0,1120,20220705,14:09:00
2150.23,2151.0,2149.2868,2150.7498,1802,20220705,14:10:00
2154.99,2156.65,2154.99,2156.42,2262,20220705,14:11:00
2156.36,2156.36,2154.175,2155.31,2316,20220705,14:12:00
2158.6401,2159.99,2158.6401,2159.4774,780,20220705,14:13:00
2160.5718,2161.29,2158.2,2161.29,4060,20220705,14:14:00
2161.53,2163.0,2158.845,2158.845,3523,20220705,14:15:00
2158.7212,2160.055,2156.801,2159.12,1380,20220705,14:16:00
2160.57,2162.61,2159.66,2159.66,6100,20220705,14:17:00
2163.37,2163.99,2162.18,2163.99,960,20220705,14:18:00
2161.61,2161.61,2158.695,2160.975,1560,20220705,14:19:00
2159.2131,2165.48,2159.2131,2165.48,1315,20220705,14:20:00
2164.9799,2166.0657,2162.24,2166.0657,1360,20220705,14:21:00
2164.9,2170.21,2164.9,2168.52,1180,20220705,14:22:00
2167.8698,2175.8999,2167.8698,2173.655,1915,20220705,14:23:00
