Symbol
A
AA
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
ADT
AEE
AEP
AES
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALTR
AMAT
AMCR
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANET
ANF
ANSS
ANTM
AON
AOS
APA
APD
APH
APTV
ARE
ATI
ATO
ATVI
AVB
AVGO
AVY
AWK
AXP
AYI
AZO
BA
BAC
BALL
BAX
BBBY
BBWI
BBY
BDX
BEAM
BEN
BHF
BIG
BIIB
BIO
BK
BKNG
BKR
BLK
BMY
BR
BRK-B
BRO
BSX
BTU
BWA
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCK
CCL
CDAY
CDNS
CDW
CE
CEG
CERN
CF
CFG
CHD
CHK
CHRW
CHTR
CI
CIEN
CINF
CL
CLF
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
CNX
COF
COO
COP
COST
COTY
CPB
CPRI
CPRT
CPT
CPWR
CRL
CRM
CSCO
CSX
CTAS
CTLT
CTRA
CTSH
CTVA
CTXS
CVG
CVS
CVX
CZR
D
DAL
DD
DE
DELL
DFS
DG
DGX
DHI
DHR
DIS
DISH
DLR
DLTR
DNB
DO
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DV
DVA
DVN
DXC
DXCM
DYN
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
ENDP
ENPH
EOG
EP
EPAM
EQIX
EQR
EQT
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCX
FDS
FDX
FE
FFIV
FHN
FIS
FISV
FITB
FL
FLR
FLS
FLT
FMC
FOSL
FOX
FOXA
FRC
FRT
FSLR
FTI
FTNT
FTV
GD
GE
GHC
GILD
GIS
GL
GLW
GM
GME
GNRC
GNW
GOOG
GOOGL
GPC
GPN
GPS
GRMN
GS
GT
GWW
HAL
HAS
HBAN
HBI
HCA
HD
HES
HIG
HII
HLT
HOG
HOLX
HON
HP
HPE
HPQ
HRB
HRL
HSIC
HST
HSY
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
IGT
ILMN
INCY
INTC
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITT
ITW
IVZ
J
JBHT
JBL
JCI
JEF
JKHY
JNJ
JNPR
JPM
JWN
K
KBH
KDP
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
L
LDOS
LEG
LEN
LH
LHX
LIFE
LIN
LKQ
LLL
LLY
LMT
LNC
LNT
LOW
LRCX
LSI
LUMN
LUV
LVS
LW
LYB
LYV
M
MA
MAA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MKTX
MLM
MMC
MMI
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
MUR
NAVI
NBR
NCLH
NCR
NDAQ
NDSN
NE
NEE
NEM
NFLX
NI
NKE
NKTR
NLOK
NLSN
NOC
NOV
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
NXPI
NYT
O
ODFL
ODP
OGN
OI
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PARA
PAYC
PAYX
PBI
PCAR
PCG
PDCO
PEAK
PEG
PENN
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PLL
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PTC
PVH
PWR
PXD
PYPL
QCOM
QRVO
R
RAD
RCL
RE
REG
REGN
RF
RHI
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RSG
RTX
S
SAI
SBAC
SBNY
SBUX
SCHW
SE
SEDG
SEE
SHW
SIG
SII
SIVB
SJM
SLB
SLG
SLM
SNA
SNPS
SO
SPG
SPGI
SRCL
SRE
STE
STR
STT
STX
STZ
SUN
SWK
SWKS
SWN
SYF
SYK
SYY
T
TAP
TDC
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGNA
TGT
THC
TJX
TMO
TMUS
TPR
TRIP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTWO
TWTR
TXN
TXT
TYL
UA
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
V
VFC
VICI
VLO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VTR
VTRS
VZ
WAB
WAT
WB
WBA
WBD
WDC
WEC
WELL
WFC
WHR
WM
WMB
WMT
WRB
WRK
WST
WTW
WU
WY
WYNN
X
XEL
XL
XOM
XRAY
XRX
XYL
YUM
ZBH
ZBRA
ZION
ZTS
