Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C200,20220418,SPX,20220520,200.0,C,0.0,0.0,0.0,0.0,0,15,4166.1,15,4175.6,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9999,0.0,-0.0385,0.0073,17.3223,30,4190.9,16,4206.7,4367.5898,4439.1099,0.0,83,
.SPX20220520P200,20220418,SPX,20220520,200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1374,0.05,4376.2002,4377.4399,4373.65,4376.9199,2.876,-0.0,0.0,-0.0061,0.0013,-0.0114,0,0.0,354,0.05,4367.5898,4439.1099,0.0,127,
.SPX20220520C400,20220418,SPX,20220520,400.0,C,0.0,0.0,0.0,0.0,0,15,3966.2,15,3975.7,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9999,0.0,-0.0114,0.0031,34.7674,30,3991.0,30,4008.0,4367.5898,4439.1099,0.0,3,
.SPX20220520P400,20220418,SPX,20220520,400.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1310,0.05,4376.2002,4377.4399,4373.65,4376.9199,2.2088,-0.0,0.0,-0.0061,0.0017,-0.0142,0,0.0,340,0.05,4367.5898,4439.1099,0.0,237,
.SPX20220520C600,20220418,SPX,20220520,600.0,C,0.0,0.0,0.0,0.0,0,15,3766.4,15,3775.9,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9996,0.0,-0.0722,0.0204,51.9892,30,3791.0,30,3807.8,4367.5898,4439.1099,0.0,1,
.SPX20220520P600,20220418,SPX,20220520,600.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.8353,-0.0,0.0,-0.0063,0.0022,-0.0176,0,0.0,340,0.05,4367.5898,4439.1099,0.0,219,
.SPX20220520C800,20220418,SPX,20220520,800.0,C,0.0,0.0,0.0,0.0,0,15,3566.5,15,3576.0,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.088,0.0285,69.2976,30,3590.0,16,3607.1,4367.5898,4439.1099,0.0,0,
.SPX20220520P800,20220418,SPX,20220520,800.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.5662,-0.0,0.0,-0.0061,0.0025,-0.0197,0,0.0,340,0.05,4367.5898,4439.1099,0.0,2866,
.SPX20220520C1000,20220418,SPX,20220520,1000.0,C,0.0,0.0,0.0,0.0,0,15,3366.7,15,3376.1,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9948,0.0,-0.6906,0.1949,84.5649,30,3391.4,30,3408.3,4367.5898,4439.1099,0.0,1,
.SPX20220520P1000,20220418,SPX,20220520,1000.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.3604,-0.0001,0.0,-0.006,0.0028,-0.022,0,0.0,340,0.05,4367.5898,4439.1099,0.0,1454,
.SPX20220520C1100,20220418,SPX,20220520,1100.0,C,0.0,0.0,0.0,0.0,0,15,3266.8,15,3276.2,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.0646,0.0265,95.4221,30,3290.2,16,3307.3,4367.5898,4439.1099,0.0,0,
.SPX20220520P1100,20220418,SPX,20220520,1100.0,P,0.0,0.0,0.0,0.0,0,0,0.0,2934,0.1,4376.2002,4377.4399,4373.65,4376.9199,1.3411,-0.0001,0.0,-0.0121,0.0057,-0.0475,0,0.0,1476,0.1,4367.5898,4439.1099,0.0,694,
.SPX20220520C1200,20220418,SPX,20220520,1200.0,C,0.0,0.0,0.0,0.0,0,15,3166.9,15,3176.0,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9998,0.0,-0.0216,0.0104,104.2784,30,3191.5,30,3208.5,4367.5898,4439.1099,0.0,0,
.SPX20220520P1200,20220418,SPX,20220520,1200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,34,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.2023,-0.0001,0.0,-0.0065,0.0034,-0.0271,0,0.0,34,0.05,4367.5898,4439.1099,0.0,2608,
.SPX20220520C1300,20220418,SPX,20220520,1300.0,C,0.0,0.0,0.0,0.0,0,15,3067.0,15,3076.3,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9992,0.0,-0.0795,0.0361,112.7685,30,3091.6,16,3107.4,4367.5898,4439.1099,0.0,0,
.SPX20220520P1300,20220418,SPX,20220520,1300.0,P,0.05,0.05,0.05,0.05,1,0,0.0,3,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.126,-0.0001,0.0,-0.0062,0.0035,-0.0275,0,0.0,3,0.05,4367.5898,4439.1099,0.05,2780,
.SPX20220520C1400,20220418,SPX,20220520,1400.0,C,0.0,0.0,0.0,0.0,0,15,2967.1,15,2976.4,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9999,0.0,-0.0117,0.0067,121.7083,30,2991.5,30,3008.4,4367.5898,4439.1099,0.0,0,
.SPX20220520P1400,20220418,SPX,20220520,1400.0,P,0.05,0.05,0.05,0.05,1,0,0.0,2705,0.1,4376.2002,4377.4399,4373.65,4376.9199,1.1096,-0.0001,0.0,-0.0117,0.0067,-0.0552,0,0.0,1126,0.1,4367.5898,4439.1099,0.05,2258,
.SPX20220520C1500,20220418,SPX,20220520,1500.0,C,0.0,0.0,0.0,0.0,0,15,2867.2,15,2876.5,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.0477,0.0257,130.2464,30,2891.7,30,2908.6,4367.5898,4439.1099,0.0,0,
.SPX20220520P1500,20220418,SPX,20220520,1500.0,P,0.05,0.05,0.05,0.05,25,0,0.0,2231,0.1,4376.2002,4377.4399,4373.65,4376.9199,1.0443,-0.0001,0.0,-0.0117,0.0071,-0.0585,0,0.0,622,0.1,4367.5898,4439.1099,0.05,4373,
.SPX20220520C1600,20220418,SPX,20220520,1600.0,C,0.0,0.0,0.0,0.0,0,15,2767.3,15,2776.5,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9991,0.0,-0.0711,0.0391,138.784,30,2791.7,30,2808.7,4367.5898,4439.1099,0.0,0,
.SPX20220520P1600,20220418,SPX,20220520,1600.0,P,0.05,0.05,0.05,0.05,108,0,0.0,200,0.1,4376.2002,4377.4399,4373.65,4376.9199,0.9837,-0.0002,0.0,-0.0117,0.0076,-0.0623,0,0.0,475,0.1,4367.5898,4439.1099,0.05,1218,
.SPX20220520C1700,20220418,SPX,20220520,1700.0,C,0.0,0.0,0.0,0.0,0,15,2667.4,15,2676.6,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9987,0.0,-0.1002,0.0564,147.3044,30,2691.8,16,2707.7,4367.5898,4439.1099,0.0,0,
.SPX20220520P1700,20220418,SPX,20220520,1700.0,P,0.1,0.1,0.05,0.05,142,0,0.0,2712,0.15,4376.2002,4377.4399,4373.65,4376.9199,0.9526,-0.0002,0.0,-0.0166,0.0111,-0.0936,0,0.0,1419,0.15,4367.5898,4439.1099,0.0785,3217,
.SPX20220520C1800,20220418,SPX,20220520,1800.0,C,0.0,0.0,0.0,0.0,0,15,2567.5,15,2576.7,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9998,0.0,-0.0117,0.0085,156.47,30,2591.9,16,2607.8,4367.5898,4439.1099,0.0,0,
.SPX20220520P1800,20220418,SPX,20220520,1800.0,P,0.1,0.1,0.1,0.1,147,846,0.05,2895,0.15,4376.2002,4377.4399,4373.65,4376.9199,0.9159,-0.0003,0.0,-0.0213,0.0147,-0.1269,0,0.0,852,0.15,4367.5898,4439.1099,0.1,2387,
.SPX20220520C1900,20220418,SPX,20220520,1900.0,C,0.0,0.0,0.0,0.0,0,15,2467.6,15,2476.8,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9998,0.0,-0.0115,0.0089,165.164,30,2492.0,16,2507.9,4367.5898,4439.1099,0.0,0,
.SPX20220520P1900,20220418,SPX,20220520,1900.0,P,0.15,0.15,0.1,0.1,85,4002,0.05,4638,0.2,4376.2002,4377.4399,4373.65,4376.9199,0.877,-0.0004,0.0,-0.0257,0.0186,-0.1629,1840,0.05,2250,0.2,4367.5898,4439.1099,0.1347,15832,
.SPX20220520C1950,20220418,SPX,20220520,1950.0,C,0.0,0.0,0.0,0.0,0,15,2417.7,15,2426.9,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9993,0.0,-0.0463,0.0328,169.2837,30,2442.0,30,2459.0,4367.5898,4439.1099,0.0,0,
.SPX20220520P1950,20220418,SPX,20220520,1950.0,P,0.2,0.2,0.1,0.1,60,820,0.1,4170,0.2,4376.2002,4377.4399,4373.65,4376.9199,0.8626,-0.0005,0.0,-0.0299,0.022,-0.1952,3,0.1,769,0.2,4367.5898,4439.1099,0.1483,1353,
.SPX20220520C2000,20220418,SPX,20220520,2000.0,C,2388.09,2388.09,2377.63,2377.63,2,15,2367.7,15,2376.9,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.0385,0.0286,173.6748,30,2392.2,16,2408.0,4367.5898,4439.1099,2382.86,984,
.SPX20220520P2000,20220418,SPX,20220520,2000.0,P,0.2,0.2,0.15,0.15,148,3531,0.1,4834,0.25,4376.2002,4377.4399,4373.65,4376.9199,0.8474,-0.0006,0.0,-0.0342,0.0256,-0.2299,254,0.1,735,0.2,4367.5898,4439.1099,0.1895,6438,
