date,time,symbol,high,close,low,open,volume,filename
2022-04-23,21:01:41,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-23,21:01:46,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-23,21:01:51,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-23,21:01:57,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-23,21:02:02,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-23,21:02:07,/ES:XCME,4393.250000,4251.250000,4247.500000,4385.750000,1957356,f_es
2022-04-24,18:36:27,/ES:XCME,0.000000,0.000000,0.000000,0.000000,0,f_es
2022-04-24,18:37:28,/ES:XCME,0.000000,0.000000,0.000000,0.000000,0,f_es
2022-04-24,18:38:29,/ES:XCME,0.000000,0.000000,0.000000,0.000000,0,f_es
2022-04-24,18:39:31,/ES:XCME,0.000000,0.000000,0.000000,0.000000,0,f_es
2022-04-24,18:40:31,/ES:XCME,4266.250000,4253.750000,4249.500000,4259.000000,17713,f_es
2022-04-24,18:41:33,/ES:XCME,4266.250000,4253.750000,4249.500000,4259.000000,17713,f_es
2022-04-24,18:42:33,/ES:XCME,4266.250000,4254.750000,4249.500000,4259.000000,18238,f_es
2022-04-24,18:57:42,/ES:XCME,4266.250000,4261.250000,4249.500000,4259.000000,20332,f_es
2022-04-24,18:58:42,/ES:XCME,4266.250000,4261.000000,4249.500000,4259.000000,20436,f_es
2022-04-24,18:59:42,/ES:XCME,4266.250000,4260.750000,4249.500000,4259.000000,20486,f_es
2022-04-24,19:00:42,/ES:XCME,4266.250000,4260.250000,4249.500000,4259.000000,20648,f_es
