date,time,symbol,high,close,low,open,volume,filename
2022-04-23,21:01:41,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-23,21:01:46,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-23,21:01:51,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-23,21:01:57,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-23,21:02:02,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-23,21:02:07,/VX:XCBF,28.550000,28.250000,24.450000,24.790000,140718,f_vx
2022-04-24,18:36:28,/VX:XCBF,0.000000,0.000000,0.000000,0.000000,0,f_vx
2022-04-24,18:37:28,/VX:XCBF,0.000000,0.000000,0.000000,0.000000,0,f_vx
2022-04-24,18:38:29,/VX:XCBF,0.000000,0.000000,0.000000,0.000000,0,f_vx
2022-04-24,18:39:31,/VX:XCBF,0.000000,0.000000,0.000000,0.000000,0,f_vx
2022-04-24,18:40:31,/VX:XCBF,28.400000,28.300000,28.000000,28.050000,618,f_vx
2022-04-24,18:41:33,/VX:XCBF,28.400000,28.300000,28.000000,28.050000,618,f_vx
2022-04-24,18:42:33,/VX:XCBF,28.400000,28.350000,28.000000,28.050000,629,f_vx
2022-04-24,18:57:42,/VX:XCBF,28.400000,28.250000,28.000000,28.050000,684,f_vx
2022-04-24,18:58:42,/VX:XCBF,28.400000,28.250000,28.000000,28.050000,684,f_vx
2022-04-24,18:59:42,/VX:XCBF,28.400000,28.200000,28.000000,28.050000,685,f_vx
2022-04-24,19:00:42,/VX:XCBF,28.400000,28.200000,28.000000,28.050000,691,f_vx
